row_label_raw,row_label_full,col_0,Số cuối năm > Triệu VND,Số cuối năm > Số đầu nămTriệu VND,numeric__Số cuối năm > Triệu VND,numeric__Số cuối năm > Số đầu nămTriệu VND
Công ty liên kết (HDS),Công ty liên kết (HDS),Công ty liên kết (HDS),Công ty liên kết (HDS),Công ty liên kết (HDS),,
Tiền gửi của khách hàng,Công ty liên kết (HDS) > Tiền gửi của khách hàng,Tiền gửi của khách hàng,1.249.060,2.326.798,1249060.0,2326798.0
- Tiền gửi thanh toán,Công ty liên kết (HDS) > - Tiền gửi thanh toán,- Tiền gửi thanh toán,1.249.060,2.326.798,1249060.0,2326798.0
Cho vay khách hàng,Công ty liên kết (HDS) > Cho vay khách hàng,Cho vay khách hàng,-,3.000.000,,3000000.0
Lãi dự thu tử cho vay,Công ty liên kết (HDS) > Lãi dự thu tử cho vay,Lãi dự thu tử cho vay,-,7.790,,7790.0
Phải thu dịch vụ thu hộ kèm hỗ trợ quản lý trái phiếu,Công ty liên kết (HDS) > Phải thu dịch vụ thu hộ kèm hỗ trợ quản lý trái phiếu,Phải thu dịch vụ thu hộ kèm hỗ trợ quản lý trái phiếu,172.718,10.024,172718.0,10024.0
"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc của Ngân hàng và thành viên mặt thiết trong gia đình của các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc của Ngân hàng và thành viên mặt thiết trong gia đình của các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc của Ngân hàng và thành viên mặt thiết trong gia đình của các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc của Ngân hàng và thành viên mặt thiết trong gia đình của các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc của Ngân hàng và thành viên mặt thiết trong gia đình của các cá nhân này",,
Tiền gửi của khách hàng,"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc của Ngân hàng và thành viên mặt thiết trong gia đình của các cá nhân này > Tiền gửi của khách hàng",Tiền gửi của khách hàng,764.372,713.712,764372.0,713712.0
- Tiền gửi thanh toán,"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc của Ngân hàng và thành viên mặt thiết trong gia đình của các cá nhân này > - Tiền gửi thanh toán",- Tiền gửi thanh toán,29.514,109.984,29514.0,109984.0
- Tiền gửi có kỳ hạn,"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc của Ngân hàng và thành viên mặt thiết trong gia đình của các cá nhân này > - Tiền gửi có kỳ hạn",- Tiền gửi có kỳ hạn,4.000,5.000,4000.0,5000.0
- Tiền gửi tiết kiệm,"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc của Ngân hàng và thành viên mặt thiết trong gia đình của các cá nhân này > - Tiền gửi tiết kiệm",- Tiền gửi tiết kiệm,730.858,598.728,730858.0,598728.0
Cho vay khách hàng,"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc của Ngân hàng và thành viên mặt thiết trong gia đình của các cá nhân này > Cho vay khách hàng",Cho vay khách hàng,340.363,227.144,340363.0,227144.0
Lãi dự thu tử cho vay,"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc của Ngân hàng và thành viên mặt thiết trong gia đình của các cá nhân này > Lãi dự thu tử cho vay",Lãi dự thu tử cho vay,4.884,1.243,4884.0,1243.0
