row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyếtmình,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyếtmình,numeric__Số cuối năm,numeric__Số đầu năm
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,373.270.643.000,-,210.0,,373270643000.0,
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,9,373.270.643.000,-,216.0,9.0,373270643000.0,
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,1.772.218.814.268,1.916.634.235.767,220.0,,1772218814268.0,1916634235767.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,12,1.701.305.806.458,1.843.161.063.205,221.0,12.0,1701305806458.0,1843161063205.0
- Nguyễn giá,- Nguyễn giá,- Nguyễn giá,222,,2.360.141.072.551,2.301.366.557.311,222.0,,2360141072551.0,2301366557311.0
- Giá trị hao mòn luy kế,- Giá trị hao mòn luy kế,- Giá trị hao mòn luy kế,223,,(658.835.266.093),(458.205.494.106),223.0,,-658835266093.0,-458205494106.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,13,70.913.007.810,73.473.172.562,227.0,13.0,70913007810.0,73473172562.0
- Nguyễn giá,- Nguyễn giá,- Nguyễn giá,228,,78.403.572.029,78.363.572.029,228.0,,78403572029.0,78363572029.0
- Giá trị hao mòn luy kế,- Giá trị hao mòn luy kế,- Giá trị hao mòn luy kế,229,,(7.490.564.219),(4.890.399.467),229.0,,-7490564219.0,-4890399467.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,69.435.244.682,54.704.144.626,240.0,,69435244682.0,54704144626.0
1. Chỉ phí xây dựng cơ bản dở dang,1. Chỉ phí xây dựng cơ bản dở dang,1. Chỉ phí xây dựng cơ bản dở dang,242,14,69.435.244.682,54.704.144.626,242.0,14.0,69435244682.0,54704144626.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,15,1.107.491.252.000,125.084.851.243,250.0,15.0,1107491252000.0,125084851243.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,1.107.491.252.000,127.367.618.356,251.0,,1107491252000.0,127367618356.0
2. Dự phòng đầu tư tài chính dài hạn,2. Dự phòng đầu tư tài chính dài hạn,2. Dự phòng đầu tư tài chính dài hạn,254,,-,(2.282.767.113),254.0,,,-2282767113.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,36.417.378.318,28.360.689.177,260.0,,36417378318.0,28360689177.0
1. Chỉ phí trả trước dài hạn,1. Chỉ phí trả trước dài hạn,1. Chỉ phí trả trước dài hạn,261,11,36.417.378.318,28.360.689.177,261.0,11.0,36417378318.0,28360689177.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,5.937.444.147.923,3.717.257.303.202,270.0,,5937444147923.0,3717257303202.0
