row_label_raw,row_label_full,02. Các khoản giảm trừ doanh thu,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Lãi chênh lệch tỷ giá,04. Doanh thu hoạt động tài chính > Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,126.743.815.292,28.765.458.189,126743815292.0,28765458189.0
"Lãi bán hàng trả chậm, chiết khấu thanh toán","04. Doanh thu hoạt động tài chính > Lãi bán hàng trả chậm, chiết khấu thanh toán","Lãi bán hàng trả chậm, chiết khấu thanh toán",1.628.247.854,1.614.367.939,1628247854.0,1614367939.0
Doanh thu hoạt động tài chính khác,04. Doanh thu hoạt động tài chính > Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,7.021.201.821,137.647.728.271,7021201821.0,137647728271.0
Cộng,04. Doanh thu hoạt động tài chính > Cộng,Cộng,580.241.438.424,730.587.762.536,580241438424.0,730587762536.0
05. Chi phí tài chính,05. Chi phí tài chính,05. Chi phí tài chính,Năm nay,Năm trước,,
Lãi tiền vay,05. Chi phí tài chính > Lãi tiền vay,Lãi tiền vay,348.304.757.259,428.696.192.014,348304757259.0,428696192014.0
Chênh lệch giá trị đầu tư và giá trị hợp lý khi sáp nhập,05. Chi phí tài chính > Chênh lệch giá trị đầu tư và giá trị hợp lý khi sáp nhập,Chênh lệch giá trị đầu tư và giá trị hợp lý khi sáp nhập,1.735.113.215.756,0,1735113215756.0,0.0
"Lỗ do thanh lý các khoản đầu tư ngắn hạn, dài hạn","05. Chi phí tài chính > Lỗ do thanh lý các khoản đầu tư ngắn hạn, dài hạn","Lỗ do thanh lý các khoản đầu tư ngắn hạn, dài hạn",23.502.266.670,135.326.501.416,23502266670.0,135326501416.0
Lỗ do bán ngoại tệ,05. Chi phí tài chính > Lỗ do bán ngoại tệ,Lỗ do bán ngoại tệ,128.337.785,547.986.012,128337785.0,547986012.0
Lỗ chênh lệch tỷ giá,05. Chi phí tài chính > Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,136.442.570.522,48.362.868.033,136442570522.0,48362868033.0
Dự phòng giảm giá chứng khoán kinh doanh và tổn thất đầu tư,05. Chi phí tài chính > Dự phòng giảm giá chứng khoán kinh doanh và tổn thất đầu tư,Dự phòng giảm giá chứng khoán kinh doanh và tổn thất đầu tư,(1.096.878.571.875),(116.246.190.985),-1096878571875.0,-116246190985.0
Chi phí tài chính khác,05. Chi phí tài chính > Chi phí tài chính khác,Chi phí tài chính khác,3.512.841.053,210.602.380.457,3512841053.0,210602380457.0
Cộng,05. Chi phí tài chính > Cộng,Cộng,1.150.125.417.170,707.289.736.947,1150125417170.0,707289736947.0
