row_label_raw,row_label_full,col_0,31/12/2023 > Tỷ lệ sở hữu (%),31/12/2023 > Tỷ lệ quyền biểu quyết (%),31/12/2023 > Giá gốc VND,31/12/2023 > Dự phòng VND,31/12/2023 > Giá trị hợp lý VND,31/12/2023 > Tỷ lệ sở hữu (%)_1,1/1/2023 > Tỷ lệ quyền biểu quyết (%),1/1/2023 > Giá gốc VND,1/1/2023 > Dự phòng VNDĐã điều chỉnh lại,numeric__31/12/2023 > Tỷ lệ sở hữu (%),numeric__31/12/2023 > Tỷ lệ quyền biểu quyết (%),numeric__31/12/2023 > Giá gốc VND,numeric__31/12/2023 > Dự phòng VND,numeric__31/12/2023 > Giá trị hợp lý VND,numeric__31/12/2023 > Tỷ lệ sở hữu (%)_1,numeric__1/1/2023 > Tỷ lệ quyền biểu quyết (%),numeric__1/1/2023 > Giá gốc VND,numeric__1/1/2023 > Dự phòng VNDĐã điều chỉnh lại
• Công ty Cổ phần Sở Phú Bài (**),▪ Công ty con > • Công ty Cổ phần Sở Phú Bài (**),• Công ty Cổ phần Sở Phú Bài (**),"60,73%","60,73%",122.656.621.350,-,(*),"53,85%","53,85%",73.657.321.350,-,0.6073,0.6073,122656621350.0,,,0.5385,0.5385,73657321350.0,
• Công ty Cổ phần Đệt May Huế,▪ Công ty con > • Công ty Cổ phần Đệt May Huế,• Công ty Cổ phần Đệt May Huế,"60,86%","60,86%",172.033.729.000,-,(*),"60,86%","60,86%",172.033.729.000,-,0.6086,0.6086,172033729000.0,,,0.6086,0.6086,172033729000.0,
• Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex,▪ Công ty con > • Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex,• Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex,"100,00%","100,00%",500.000.000.000,(150.516.974.066),(*),"100,00%","100,00%",500.000.000.000,-,1.0,1.0,500000000000.0,-150516974066.0,,1.0,1.0,500000000000.0,
• Công ty TNHH Tổng Công ty Đệt May Miền Nam – Vinatex,▪ Công ty con > • Công ty TNHH Tổng Công ty Đệt May Miền Nam – Vinatex,• Công ty TNHH Tổng Công ty Đệt May Miền Nam – Vinatex,"100,00%","100,00%",191.301.358.205,(8.896.017.608),(*),"100,00%","100,00%",191.301.358.205,(17.733.824.111),1.0,1.0,191301358205.0,-8896017608.0,,1.0,1.0,191301358205.0,-17733824111.0
• Công ty Cổ phần Vinatex Phú Hưng,▪ Công ty con > • Công ty Cổ phần Vinatex Phú Hưng,• Công ty Cổ phần Vinatex Phú Hưng,"52,00%","52,00%",33.800.000.000,(7.368.064.412),(*),"52,00%","52,00%",33.800.000.000,-,0.52,0.52,33800000000.0,-7368064412.0,,0.52,0.52,33800000000.0,
,,,,,2.191.080.629.010,(376.842.877.940),,,,2.142.081.329.010,(165.689.109.057),,,2191080629010.0,-376842877940.0,,,,2142081329010.0,-165689109057.0
▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,,,,,,,,,
• Tổng Công ty May Nhà Bè – CTCP,▪ Công ty liên kết > • Tổng Công ty May Nhà Bè – CTCP,• Tổng Công ty May Nhà Bè – CTCP,"26,37%","26,37%",64.157.524.344,-,(*),"26,37%","26,37%",64.157.524.344,-,0.2637,0.2637,64157524344.0,,,0.2637,0.2637,64157524344.0,
• Tổng Công ty Đức Giang – CTCP,▪ Công ty liên kết > • Tổng Công ty Đức Giang – CTCP,• Tổng Công ty Đức Giang – CTCP,"35,21%","35,21%",48.705.037.797,-,(*),"35,21%","35,21%",48.705.037.797,-,0.3521,0.3521,48705037797.0,,,0.3521,0.3521,48705037797.0,
• Tổng Công ty May Hưng Yên – CTCP,▪ Công ty liên kết > • Tổng Công ty May Hưng Yên – CTCP,• Tổng Công ty May Hưng Yên – CTCP,"35,01%","35,01%",47.350.233.012,-,(*),"35,01%","35,01%",47.350.233.012,-,0.35009999999999997,0.35009999999999997,47350233012.0,,,0.35009999999999997,0.35009999999999997,47350233012.0,
• Tổng Công ty May 10 – CTCP,▪ Công ty liên kết > • Tổng Công ty May 10 – CTCP,• Tổng Công ty May 10 – CTCP,"33,82%","33,82%",97.190.682.268,-,(*),"33,82%","33,82%",97.190.682.268,-,0.3382,0.3382,97190682268.0,,,0.3382,0.3382,97190682268.0,
• Tổng Công ty Cổ phần May Việt Tiến,▪ Công ty liên kết > • Tổng Công ty Cổ phần May Việt Tiến,• Tổng Công ty Cổ phần May Việt Tiến,"30,40%","30,40%",288.033.867.683,-,(*),"30,40%","30,40%",288.033.867.683,-,0.304,0.304,288033867683.0,,,0.304,0.304,288033867683.0,
• Tổng Công ty Việt Thắng – CTCP,▪ Công ty liên kết > • Tổng Công ty Việt Thắng – CTCP,• Tổng Công ty Việt Thắng – CTCP,"46,93%","46,93%",196.304.445.135,-,(*),"46,93%","46,93%",196.304.445.135,-,0.4693,0.4693,196304445135.0,,,0.4693,0.4693,196304445135.0,
• Các khoản đầu tư tại các công ty liên kết khác (***),▪ Công ty liên kết > • Các khoản đầu tư tại các công ty liên kết khác (***),• Các khoản đầu tư tại các công ty liên kết khác (***),,,296.528.065.540,(2.786.499.443),(*),,,305.336.065.540,-,,,296528065540.0,-2786499443.0,,,,305336065540.0,
,,,,,1.038.269.855.779,(2.786.499.443),,,,1.047.077.855.779,-,,,1038269855779.0,-2786499443.0,,,,1047077855779.0,
▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,,,,,,,,,
• Công ty Cổ phần TCE VINA DENIM,▪ Đơn vị khác > • Công ty Cổ phần TCE VINA DENIM,• Công ty Cổ phần TCE VINA DENIM,"1,83%","1,83%",19.450.204.510,-,(*),"1,97%","1,97%",19.450.204.510,(13.180.048.533),0.0183,0.0183,19450204510.0,,,0.0197,0.0197,19450204510.0,-13180048533.0
• Các khoản đầu tư khác,▪ Đơn vị khác > • Các khoản đầu tư khác,• Các khoản đầu tư khác,,,20.339.294.390,-,(*),,,20.339.294.390,-,,,20339294390.0,,,,,20339294390.0,
,,,,,39.789.498.900,-,,,,39.789.498.900,(13.180.048.533),,,39789498900.0,,,,,39789498900.0,-13180048533.0
,,,,,3.269.139.983.689,(379.629.377.383),,,,3.228.948.683.689,(178.869.157.590),,,3269139983689.0,-379629377383.0,,,,3228948683689.0,-178869157590.0
