row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Gia sức VND,Khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Gia sức VND,numeric__Khác VND,numeric__Tổng cộng VND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,470.791.821.035,3.110.236.122.275,254.352.012.607,243.574.378.355,105.115.177.397,50.390.792.555,4.234.460.304.224,470791821035.0,3110236122275.0,254352012607.0,243574378355.0,105115177397.0,50390792555.0,4234460304224.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,121.585.846.580,745.161.957.332,66.951.574.012,61.429.046.563,70.073.174.545,7.530.426.721,1.072.732.025.753,121585846580.0,745161957332.0,66951574012.0,61429046563.0,70073174545.0,7530426721.0,1072732025753.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(309.867.753),3.080.484.012,(2.570.871.695),(199.744.564),-,-,-,-309867753.0,3080484012.0,-2570871695.0,-199744564.0,,,
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,-,-,(68.221.526),-,-,(68.221.526),,,,-68221526.0,,,-68221526.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(513.578.188),(12.893.633.044),(6.110.272.891),(1.011.331.831),(40.247.404.753),(944.680),(60.777.165.387),-513578188.0,-12893633044.0,-6110272891.0,-1011331831.0,-40247404753.0,-944680.0,-60777165387.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,(2.857.078.504),-,(199.266.000),-,-,(3.056.344.504),,-2857078504.0,,-199266000.0,,,-3056344504.0
Chênh lệch chuyển đổi,Giá trị hao mòn lũy kế > Chênh lệch chuyển đổi,Chênh lệch chuyển đổi,1.826.518.352,14.497.426.137,1.418.343.435,616.586.163,-,2.726.065.542,21.084.939.629,1826518352.0,14497426137.0,1418343435.0,616586163.0,,2726065542.0,21084939629.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,593.380.740.026,3.857.225.278.208,314.040.785.468,304.141.447.160,134.940.947.189,60.646.340.138,5.264.375.538.189,593380740026.0,3857225278208.0,314040785468.0,304141447160.0,134940947189.0,60646340138.0,5264375538189.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.825.337.169.226,4.882.538.848.443,419.749.104.040,204.530.728.334,202.331.176.239,13.701.753.856,7.548.188.780.138,1825337169226.0,4882538848443.0,419749104040.0,204530728334.0,202331176239.0,13701753856.0,7548188780138.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.162.131.202.163,4.693.373.851.584,437.696.851.345,180.320.275.292,301.240.322.089,20.582.999.047,7.795.345.501.520,2162131202163.0,4693373851584.0,437696851345.0,180320275292.0,301240322089.0,20582999047.0,7795345501520.0
