row_label_raw,row_label_full,col_0,Số đầu kỳ,Tăng trong kỳ,Giảm trong kỳ,Số cuối kỳ,numeric__Số đầu kỳ,numeric__Tăng trong kỳ,numeric__Giảm trong kỳ,numeric__Số cuối kỳ
- Công ty CP Dịch vụ Bảo vệ Đức,Cầu đường Phước Hoàng Long > - Công ty CP Dịch vụ Bảo vệ Đức,- Công ty CP Dịch vụ Bảo vệ Đức,1.053.550.786,-,244.089.282,809.461.504,1053550786.0,,244089282.0,809461504.0
Long Gia Lai,Long Gia Lai,Long Gia Lai,,,,,,,,
- Nguyễn Thanh Lâm,Long Gia Lai > - Nguyễn Thanh Lâm,- Nguyễn Thanh Lâm,-,85.000.000.000,85.000.000.000,-,,85000000000.0,85000000000.0,
Công ty CP BOT và BT Đức Long,Long Gia Lai > Công ty CP BOT và BT Đức Long,Công ty CP BOT và BT Đức Long,-,5.500.000.000,-,5.500.000.000,,5500000000.0,,5500000000.0
Đắk Nông,Đắk Nông,Đắk Nông,,,,,,,,
,,,-,2.428.532.166,525.444.778,1.903.087.388,,2428532166.0,525444778.0,1903087388.0
Công ty CP Đầu tư và Phát triển,Công ty CP Đầu tư và Phát triển,Công ty CP Đầu tư và Phát triển,,,,,,,,
DVCT Công cộng Đức Long Gia Lai,DVCT Công cộng Đức Long Gia Lai,DVCT Công cộng Đức Long Gia Lai,,,,,,,,
- Các đối tượng khác,DVCT Công cộng Đức Long Gia Lai > - Các đối tượng khác,- Các đối tượng khác,1.673.907.507,1.148.751.030,1.594.497.437,1.228.161.100,1673907507.0,1148751030.0,1594497437.0,1228161100.0
Vay dài hạn đến hạn trả,DVCT Công cộng Đức Long Gia Lai > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,37.956.000.000,46.955.186.614,37.814.284.800,47.096.901.814,37956000000.0,46955186614.0,37814284800.0,47096901814.0
- Ngân hàng TMCP Công thương,DVCT Công cộng Đức Long Gia Lai > - Ngân hàng TMCP Công thương,- Ngân hàng TMCP Công thương,2.000.000.000,8.000.000.000,2.000.000.000,8.000.000.000,2000000000.0,8000000000.0,2000000000.0,8000000000.0
Việt Nam - CN Gia Lai,Việt Nam - CN Gia Lai,Việt Nam - CN Gia Lai,,,,,,,,
- Ngân hàng TMCP ĐT&PT Việt,Việt Nam - CN Gia Lai > - Ngân hàng TMCP ĐT&PT Việt,- Ngân hàng TMCP ĐT&PT Việt,33.000.000.000,10.200.000.000,33.000.000.000,10.200.000.000,33000000000.0,10200000000.0,33000000000.0,10200000000.0
Nam - CN Gia Lai,Nam - CN Gia Lai,Nam - CN Gia Lai,,,,,,,,
- Ngân hàng TMCP Sài Gòn Thương,Nam - CN Gia Lai > - Ngân hàng TMCP Sài Gòn Thương,- Ngân hàng TMCP Sài Gòn Thương,2.800.000.000,3.500.000.000,2.558.324.800,3.741.675.200,2800000000.0,3500000000.0,2558324800.0,3741675200.0
Tín - CN Gia Lai,Tín - CN Gia Lai,Tín - CN Gia Lai,,,,,,,,
- Ngân hàng TMCP Sài Gòn Thương,Tín - CN Gia Lai > - Ngân hàng TMCP Sài Gòn Thương,- Ngân hàng TMCP Sài Gòn Thương,-,24.799.306.614,-,24.799.306.614,,24799306614.0,,24799306614.0
Tín - CN TP HCM,Tín - CN TP HCM,Tín - CN TP HCM,,,,,,,,
- Ngân hàng TMCP Quốc Dàn - Sở giao dịch,Tín - CN TP HCM > - Ngân hàng TMCP Quốc Dàn - Sở giao dịch,- Ngân hàng TMCP Quốc Dàn - Sở giao dịch,156.000.000,455.880.000,255.960.000,355.920.000,156000000.0,455880000.0,255960000.0,355920000.0
Trái phiếu phát hành đến hạn trả,Tín - CN TP HCM > Trái phiếu phát hành đến hạn trả,Trái phiếu phát hành đến hạn trả,404.500.000,-,24.900.000,379.600.000,404500000.0,,24900000.0,379600000.0
Cộng,Tín - CN TP HCM > Cộng,Cộng,267.659.790.966,829.634.814.719,924.718.235.862,172.576.369.823,267659790966.0,829634814719.0,924718235862.0,172576369823.0
