row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Máy móc thiết bị,Phương tiệnvận tải truyền dẫn,Thiết bịdụng cụ quản lý,Vuồn câykinh doanh,Tài sảncó định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiệnvận tải truyền dẫn,numeric__Thiết bịdụng cụ quản lý,numeric__Vuồn câykinh doanh,numeric__Tài sảncó định khác,numeric__Cộng
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,13.296.278.292.786,6.604.147.301.753,2.172.905.773.763,291.141.917.159,35.858.851.244.372,96.006.157.385,58.319.330.687.217,13296278292786.0,6604147301753.0,2172905773763.0,291141917159.0,35858851244372.0,96006157385.0,58319330687217.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,7.335.428.573.434,4.248.112.890.058,1.479.505.260.810,251.377.557.636,7.180.668.422.972,74.449.859.991,20.569.542.564.901,7335428573434.0,4248112890058.0,1479505260810.0,251377557636.0,7180668422972.0,74449859991.0,20569542564901.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,529.758.345.487,257.623.351.359,99.226.273.317,7.282.329.033,1.679.718.330.589,3.598.331.362,2.577.206.961.147,529758345487.0,257623351359.0,99226273317.0,7282329033.0,1679718330589.0,3598331362.0,2577206961147.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,144.520.340,11.395.443,-,22.500.000,6.667.519,-,185.083.302,144520340.0,11395443.0,,22500000.0,6667519.0,,185083302.0
- Chênh lệch do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,69.224.869.586,13.221.793.336,11.088.968.332,633.517.135,182.393.564.852,3.806.555,276.566.519.796,69224869586.0,13221793336.0,11088968332.0,633517135.0,182393564852.0,3806555.0,276566519796.0
- Tăng do phân loại lại,Giá trị hao mòn lũy kế > - Tăng do phân loại lại,- Tăng do phân loại lại,3.950.200.809,-,192.225.245,8.844.106,-,-,4.151.270.160,3950200809.0,,192225245.0,8844106.0,,,4151270160.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(28.294.660.034),(13.752.083.812),(24.108.773.258),(2.618.377.652),(248.274.413.000),(323.895.885),(317.372.203.641),-28294660034.0,-13752083812.0,-24108773258.0,-2618377652.0,-248274413000.0,-323895885.0,-317372203641.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,(2.683.069.654),(129.560.000),(509.090.909),-,(198.555.648),-,(3.520.276.211),-2683069654.0,-129560000.0,-509090909.0,,-198555648.0,,-3520276211.0
- Giảm do phân loại lại,Giá trị hao mòn lũy kế > - Giảm do phân loại lại,- Giảm do phân loại lại,(49.934),(359.479.176),(547.154.486),432.647.599,-,(3.677.234.163),(4.151.270.160),-49934.0,-359479176.0,-547154486.0,432647599.0,,-3677234163.0,-4151270160.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,7.907.528.730.034,4.504.728.307.208,1.564.847.709.051,257.139.017.857,8.794.314.017.284,74.050.867.860,23.102.608.649.294,7907528730034.0,4504728307208.0,1564847709051.0,257139017857.0,8794314017284.0,74050867860.0,23102608649294.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại > - Tại ngày đầu năm,- Tại ngày đầu năm,5.469.681.786.376,2.186.362.365.504,609.064.439.683,32.436.472.323,26.008.020.141.215,20.402.520.375,34.325.967.725.476,5469681786376.0,2186362365504.0,609064439683.0,32436472323.0,26008020141215.0,20402520375.0,34325967725476.0
- Tại ngày cuối năm,Giá trị còn lại > - Tại ngày cuối năm,- Tại ngày cuối năm,5.388.749.562.751,2.099.418.994.545,608.058.064.712,34.002.899.302,27.064.537.227.088,21.955.289.525,35.216.722.037.923,5388749562751.0,2099418994545.0,608058064712.0,34002899302.0,27064537227088.0,21955289525.0,35216722037923.0
