row_label_raw,row_label_full,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_1,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_2,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_3,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_4,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_5,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_6,numeric__CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_1,numeric__CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_2,numeric__CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_3,numeric__CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_4,numeric__CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_5,numeric__CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_6
"Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư vào công ty liên doanh, liên kết > Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",845.036.878.902,291.806.686.020,,265.747.841.810,196.560.744.300,,845036878902.0,291806686020.0,,265747841810.0,196560744300.0,
+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,"c) Đầu tư vào công ty liên doanh, liên kết > + Công ty CP Đầu tư và phát triển Đa Quốc Gia",+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,845.036.878.902,291.806.686.020,,265.747.841.810,196.560.744.300,,845036878902.0,291806686020.0,,265747841810.0,196560744300.0,
d) Đầu tư vào đơn vị khác,d) Đầu tư vào đơn vị khác,d) Đầu tư vào đơn vị khác,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
d) Đầu tư vào đơn vị khác,d) Đầu tư vào đơn vị khác,d) Đầu tư vào đơn vị khác,Giá gốc,Giá hợp lý,Dự phòng,Giá gốc,Giá hợp lý,Dự phòng,,,,,,
d) Đầu tư vào đơn vị khác,d) Đầu tư vào đơn vị khác > d) Đầu tư vào đơn vị khác,d) Đầu tư vào đơn vị khác,40.060.000.000,34.650.000.000,(2.031.126.510),40.060.000.000,82.500.000.000,(32.587.954),40060000000.0,34650000000.0,-2031126510.0,40060000000.0,82500000000.0,-32587954.0
+ Công ty CP Tư vấn và Đầu tư Tài chính (*),d) Đầu tư vào đơn vị khác > + Công ty CP Tư vấn và Đầu tư Tài chính (*),+ Công ty CP Tư vấn và Đầu tư Tài chính (*),8.060.000.000,,(31.126.510),8.060.000.000,,(32.587.954),8060000000.0,,-31126510.0,8060000000.0,,-32587954.0
+ Công ty CP Đầu tư Du lịch và Phát triển Thủy sản,d) Đầu tư vào đơn vị khác > + Công ty CP Đầu tư Du lịch và Phát triển Thủy sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thủy sản,15.000.000.000,34.650.000.000,,15.000.000.000,82.500.000.000,,15000000000.0,34650000000.0,,15000000000.0,82500000000.0,
+ Công ty CP Nhựt Hồng (*),d) Đầu tư vào đơn vị khác > + Công ty CP Nhựt Hồng (*),+ Công ty CP Nhựt Hồng (*),15.000.000.000,,,15.000.000.000,,,15000000000.0,,,15000000000.0,,
+ Công ty CP Bóng Đá Đồng Tháp (*),d) Đầu tư vào đơn vị khác > + Công ty CP Bóng Đá Đồng Tháp (*),+ Công ty CP Bóng Đá Đồng Tháp (*),2.000.000.000,,(2.000.000.000),2.000.000.000,,,2000000000.0,,-2000000000.0,2000000000.0,,
Cộng,d) Đầu tư vào đơn vị khác > Cộng,Cộng,885.096.878.902,326.456.686.020,(2.031.126.510),305.807.841.810,279.060.744.300,(32.587.954),885096878902.0,326456686020.0,-2031126510.0,305807841810.0,279060744300.0,-32587954.0
