row_label_raw,row_label_full,col_0,Ngân hàng,Cho thuê tài chính,Bảo hiểm,Chứng khoán,Khác,Điều chính hợp nhất,Tổng cộng,numeric__Ngân hàng,numeric__Cho thuê tài chính,numeric__Bảo hiểm,numeric__Chứng khoán,numeric__Khác,numeric__Điều chính hợp nhất,numeric__Tổng cộng
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",304.618,-,10.312,8.671,-,(32.649),290.952,304618.0,,10312.0,8671.0,,-32649.0,290952.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,68.212.732,158.834,971.180,407.721,21.193,(189.216),69.582.444,68212732.0,158834.0,971180.0,407721.0,21193.0,-189216.0,69582444.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,(12.304.528),(58.378),(335.622),(179.717),(13.482),54.462,(12.837.265),-12304528.0,-58378.0,-335622.0,-179717.0,-13482.0,54462.0,-12837265.0
Chi phí khấu hao và khấu trừ,Chi phí khấu hao và khấu trừ,Chi phí khấu hao và khấu trừ,(1.038.257),(1.988),(8.953),(8.424),(148),-,(1.057.770),-1038257.0,-1988.0,-8953.0,-8424.0,-148.0,,-1057770.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(8.319.780),(31.529),(219.818),(69.112),(6.350),(15.850),(8.662.439),-8319780.0,-31529.0,-219818.0,-69112.0,-6350.0,-15850.0,-8662439.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(21.662.565),(91.895),(564.393),(257.253),(19.980),38.612,(22.557.474),-21662565.0,-91895.0,-564393.0,-257253.0,-19980.0,38612.0,-22557474.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,46.550.167,66.939,406.787,150.468,1.213,(150.604),47.024.970,46550167.0,66939.0,406787.0,150468.0,1213.0,-150604.0,47024970.0
(Chi phí)/Hoàn nhập dự phòng rủi ro tín dụng,(Chi phí)/Hoàn nhập dự phòng rủi ro tín dụng,(Chi phí)/Hoàn nhập dự phòng rủi ro tín dụng,(24.005.329),(6.964),-,(7.054),-,3.862,(24.015.485),-24005329.0,-6964.0,,-7054.0,,3862.0,-24015485.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,22.544.838,59.975,406.787,143.414,1.213,(146.742),23.009.485,22544838.0,59975.0,406787.0,143414.0,1213.0,-146742.0,23009485.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(4.478.598),(12.001),(80.462),(36.608),-,3.149,(4.604.520),-4478598.0,-12001.0,-80462.0,-36608.0,,3149.0,-4604520.0
Thu nhập/(Chi phí) thuế TNDN hoãn lại,Thu nhập/(Chi phí) thuế TNDN hoãn lại,Thu nhập/(Chi phí) thuế TNDN hoãn lại,(1.884),-,-,-,-,16.933,15.049,-1884.0,,,,,16933.0,15049.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,18.064.356,47.974,326.325,106.806,1.213,(126.660),18.420.014,18064356.0,47974.0,326325.0,106806.0,1213.0,-126660.0,18420014.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,,,,,,,
TỔNG TÀI SẢN,Tại ngày 31 tháng 12 năm 2022 > TỔNG TÀI SẢN,TỔNG TÀI SẢN,2.121.669.779,5.424.514,6.991.825,6.359.398,109.994,(19.946.126),2.120.609.384,2121669779.0,5424514.0,6991825.0,6359398.0,109994.0,-19946126.0,2120609384.0
TỔNG NỘ PHẢI TRẢ,Tại ngày 31 tháng 12 năm 2022 > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,2.021.064.509,4.432.206,4.183.546,2.082.263,6.401,(15.349.536),2.016.419.389,2021064509.0,4432206.0,4183546.0,2082263.0,6401.0,-15349536.0,2016419389.0
