row_label_raw,row_label_full,Bên liên quan > Phải thu dài hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 9),Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 9),Đơn vị tính: VND > Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 9)
Ông Đăng Thành Tâm Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Phải trả ngắn hạn khác (Thuyết minh số 19) > Ông Đăng Thành Tâm Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Ông Đăng Thành Tâm Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Phải trả khác,1.600.000.000,30.000.000,,1600000000.0,30000000.0
Ông Đăng Thành Tâm Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Phải trả ngắn hạn khác (Thuyết minh số 19) > Ông Đăng Thành Tâm Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Ông Đăng Thành Tâm Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Phải trả khác,-,94.264.000.000,,,94264000000.0
,,,,1.600.000.000,94.294.000.000,,1600000000.0,94294000000.0
Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),,,
Công ty TNHH Saigontel Long An (i),Vay ngắn hạn (Thuyết minh số 20) > Công ty TNHH Saigontel Long An (i),Công ty TNHH Saigontel Long An (i),Vay ngắn hạn,112.500.000.000,112.500.000.000,,112500000000.0,112500000000.0
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (ii),Vay ngắn hạn (Thuyết minh số 20) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (ii),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (ii),Vay ngắn hạn,30.000.000.000,30.000.000.000,,30000000000.0,30000000000.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng (iii),Vay ngắn hạn (Thuyết minh số 20) > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng (iii),Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng (iii),Vay ngắn hạn,7.800.000.000,7.800.000.000,,7800000000.0,7800000000.0
Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn,Vay ngắn hạn (Thuyết minh số 20) > Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn,Vay ngắn hạn,-,90.068.296.043,,,90068296043.0
Ông Đăng Thành Tâm,Vay ngắn hạn (Thuyết minh số 20) > Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Vay ngắn hạn,-,8.529.000.000,,,8529000000.0
,,,,150.300.000.000,248.897.296.043,,150300000000.0,248897296043.0
