row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,MẦU SỐ B 01-DN/HN Đơn vị: VND31/12/2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__MẦU SỐ B 01-DN/HN Đơn vị: VND31/12/2014(Trình bày lại)
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,226,,(135.440.493.417),(134.755.398.373),226.0,,-135440493417.0,-134755398373.0
3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,227,15,357.968.378.256,358.758.391.672,227.0,15.0,357968378256.0,358758391672.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,412.153.609.640,399.978.956.486,228.0,,412153609640.0,399978956486.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(54.185.231.384),(41.220.564.814),229.0,,-54185231384.0,-41220564814.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,6.598.168.402.238,3.780.282.380.909,240.0,,6598168402238.0,3780282380909.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,16,6.598.168.402.238,3.780.282.380.909,242.0,16.0,6598168402238.0,3780282380909.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,6,85.741.527.821,87.201.169.122,250.0,6.0,85741527821.0,87201169122.0
1. Đầu tư vào công ty liên kết,1. Đầu tư vào công ty liên kết,1. Đầu tư vào công ty liên kết,252,,75.741.527.821,77.201.169.122,252.0,,75741527821.0,77201169122.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,85.000.000.000,85.000.000.000,253.0,,85000000000.0,85000000000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(75.000.000.000),(75.000.000.000),254.0,,-75000000000.0,-75000000000.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,1.323.006.428.733,1.378.382.928.240,260.0,,1323006428733.0,1378382928240.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,12,882.541.690.429,861.635.599.757,261.0,12.0,882541690429.0,861635599757.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,17,47.020.833.374,37.235.738.307,262.0,17.0,47020833374.0,37235738307.0
3. Lợi thế thương mại,3. Lợi thế thương mại,3. Lợi thế thương mại,269,19,393.443.904.930,479.511.590.176,269.0,19.0,393443904930.0,479511590176.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,56.714.606.287.288,53.791.407.348.105,270.0,,56714606287288.0,53791407348105.0
