row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Quỹ dự phòng tài chính VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn đầu tư của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ dự phòng tài chính VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,18.950.000.000.000,1.216.727.266,59.449.827.984,-,7.628.468.040.217,4.063.173.608.573,134.944.997.553,5.144.151.727.400,1.697.943.631.608,37.679.348.560.601,18950000000000.0,1216727266.0,59449827984.0,,7628468040217.0,4063173608573.0,134944997553.0,5144151727400.0,1697943631608.0,37679348560601.0
Phân loại lại theo Thông tư số 200/2014/TT-BTC,Phân loại lại theo Thông tư số 200/2014/TT-BTC,Phân loại lại theo Thông tư số 200/2014/TT-BTC,-,-,-,-,4.063.173.608.573,(4.063.173.608.573),-,-,-,-,,,,,4063173608573.0,-4063173608573.0,,,,
Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,18.950.000.000.000,1.216.727.266,59.449.827.984,-,11.691.641.648.790,-,134.944.997.553,5.144.151.727.400,1.697.943.631.608,37.679.348.560.601,18950000000000.0,1216727266.0,59449827984.0,,11691641648790.0,,134944997553.0,5144151727400.0,1697943631608.0,37679348560601.0
Bổ sung vốn chủ sở hữu,Bổ sung vốn chủ sở hữu,Bổ sung vốn chủ sở hữu,-,-,193.810.866.250,-,(193.810.866.250),-,-,-,-,-,,,193810866250.0,,-193810866250.0,,,,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,8.533.695.412.604,298.430.505.873,8.832.125.918.477,,,,,,,,8533695412604.0,298430505873.0,8832125918477.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,1.066.363.214,-,19.589.116.766,-,-,(20.655.479.980),-,-,,,1066363214.0,,19589116766.0,,,-20655479980.0,,
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(203.035.021.943),(46.522.285.221),(249.557.307.164),,,,,,,,-203035021943.0,-46522285221.0,-249557307164.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,(3.220.476.719.000),(213.362.168.844),(3.433.838.887.844),,,,,,,,-3220476719000.0,-213362168844.0,-3433838887844.0
Mua cổ phiếu quỹ (i),Mua cổ phiếu quỹ (i),Mua cổ phiếu quỹ (i),-,-,-,(40.111.223.937),-,-,-,-,(7.808.122),(40.119.032.059),,,,-40111223937.0,,,,,-7808122.0,-40119032059.0
Thoái vốn tại PV Coating,Thoái vốn tại PV Coating,Thoái vốn tại PV Coating,-,-,-,-,(3.978.195.925),-,-,66.650.637.304,93.564.426.656,156.236.868.035,,,,,-3978195925.0,,,66650637304.0,93564426656.0,156236868035.0
Hồi tố số liệu năm 2014,Hồi tố số liệu năm 2014,Hồi tố số liệu năm 2014,-,-,-,-,-,-,-,(46.669.749.673),-,(46.669.749.673),,,,,,,,-46669749673.0,,-46669749673.0
Thay đổi khác,Thay đổi khác,Thay đổi khác,-,(795.000.000),(2.434.579.319),-,976.072,-,68.113,(2.607.484.625),(2.627.468.511),(8.463.488.270),,-795000000.0,-2434579319.0,,976072.0,,68113.0,-2607484625.0,-2627468511.0,-8463488270.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,18.950.000.000.000,421.727.266,251.892.478.129,(40.111.223.937),11.513.442.679.453,-,134.945.065.666,10.251.053.322.087,1.827.418.833.439,42.889.062.882.103,18950000000000.0,421727266.0,251892478129.0,-40111223937.0,11513442679453.0,,134945065666.0,10251053322087.0,1827418833439.0,42889062882103.0
