row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2015,31/12/2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
3. Thuế thu nhập hoãn lại phải trả,3. Thuế thu nhập hoãn lại phải trả,3. Thuế thu nhập hoãn lại phải trả,341,26,44.924.303.926,-,341.0,26.0,44924303926.0,
4. Dự phòng phải trả dài hạn,4. Dự phòng phải trả dài hạn,4. Dự phòng phải trả dài hạn,342,24,49.038.329.745,334.388.426.461,342.0,24.0,49038329745.0,334388426461.0
5. Quỹ phát triển khoa học và công nghệ,5. Quỹ phát triển khoa học và công nghệ,5. Quỹ phát triển khoa học và công nghệ,343,,31.356.044.549,31.356.044.549,343.0,,31356044549.0,31356044549.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,42.889.062.882.103,37.679.348.560.601,400.0,,42889062882103.0,37679348560601.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,27,42.889.062.882.103,37.679.348.560.601,410.0,27.0,42889062882103.0,37679348560601.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,18.950.000.000.000,18.950.000.000.000,411.0,,18950000000000.0,18950000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,18.950.000.000.000,18.950.000.000.000,,,18950000000000.0,18950000000000.0
2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,412,,421.727.266,1.216.727.266,412.0,,421727266.0,1216727266.0
3. Vốn khác của chủ sở hữu,3. Vốn khác của chủ sở hữu,3. Vốn khác của chủ sở hữu,414,,251.892.478.129,59.449.827.984,414.0,,251892478129.0,59449827984.0
4. Cổ phiếu quỹ,4. Cổ phiếu quỹ,4. Cổ phiếu quỹ,415,,(40.111.223.937),-,415.0,,-40111223937.0,
5. Quỹ đầu tư phát triển,5. Quỹ đầu tư phát triển,5. Quỹ đầu tư phát triển,418,,11.513.442.679.453,11.691.641.648.790,418.0,,11513442679453.0,11691641648790.0
6. Quỹ khác thuộc vốn chủ sở hữu,6. Quỹ khác thuộc vốn chủ sở hữu,6. Quỹ khác thuộc vốn chủ sở hữu,420,,134.945.065.666,134.944.997.553,420.0,,134945065666.0,134944997553.0
7. Lợi nhuận sau thuế chưa phân phối,7. Lợi nhuận sau thuế chưa phân phối,7. Lợi nhuận sau thuế chưa phân phối,421,,10.251.053.322.087,5.144.151.727.400,421.0,,10251053322087.0,5144151727400.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,3.825.764.124.148,231.062.564.792,,,3825764124148.0,231062564792.0
- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,6.425.289.197.939,4.913.089.162.608,,,6425289197939.0,4913089162608.0
8. Lợi ích cổ đông không kiểm soát,8. Lợi ích cổ đông không kiểm soát,8. Lợi ích cổ đông không kiểm soát,429,,1.827.418.833.439,1.697.943.631.608,429.0,,1827418833439.0,1697943631608.0
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,56.746.605.287.240,53.791.407.348.105,440.0,,56746605287240.0,53791407348105.0
