row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiện vận tảivà thiết bị truyền dẫn,Thiết bịvăn phòng,Tài sảncố định khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiện vận tảivà thiết bị truyền dẫn,numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__Tổng cộng
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,1.895.988.456.809,1.601.307.558.761,466.530.696.311,104.775.098.449,16.169.238.653.373,20.237.840.463.703,1895988456809.0,1601307558761.0,466530696311.0,104775098449.0,16169238653373.0,20237840463703.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,460.707.802.182,410.466.098.463,63.770.096.296,28.084.930.462,2.002.566.226.223,2.965.595.153.626,460707802182.0,410466098463.0,63770096296.0,28084930462.0,2002566226223.0,2965595153626.0
Chuyển sang từ Tài sản thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang từ Tài sản thuê tài chính,Chuyển sang từ Tài sản thuê tài chính,-,47.933.998.993,-,-,-,47.933.998.993,,47933998993.0,,,,47933998993.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.044.433.716),-,(3.551.262.715),(5.518.773.159),-,(15.114.469.590),-6044433716.0,,-3551262715.0,-5518773159.0,,-15114469590.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,576.281.727,45.651.218.355,-,-,(46.227.500.082),-,576281727.0,45651218355.0,,,-46227500082.0,
Tăng/Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng/Giảm khác,Tăng/Giảm khác,(3.053.978.362),9.455.451,3.125.123.753,(4.190.569),-,76.410.273,-3053978362.0,9455451.0,3125123753.0,-4190569.0,,76410273.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,2.348.174.128.640,2.105.368.330.023,529.874.653.645,127.337.065.183,18.125.577.379.514,23.236.331.557.005,2348174128640.0,2105368330023.0,529874653645.0,127337065183.0,18125577379514.0,23236331557005.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,3.598.080.785.297,2.801.195.899.520,234.792.456.104,114.756.916.216,7.695.859.092.904,14.444.685.150.041,3598080785297.0,2801195899520.0,234792456104.0,114756916216.0,7695859092904.0,14444685150041.0
Tại ngày 31/12/2014,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,3.836.732.389.268,2.364.457.902.806,207.743.287.114,47.123.021.605,8.322.051.241.197,14.778.107.841.990,3836732389268.0,2364457902806.0,207743287114.0,47123021605.0,8322051241197.0,14778107841990.0
