row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 VND,numeric__Giao dịch,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 VND
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,
Bảo Việt Nhân thọ,Công ty con > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Chuyển tiền tăng vốn,(1.150.000.000.000),(500.000.000.000),,-1150000000000.0,-500000000000.0
Bảo Việt Nhân thọ,Công ty con > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Lợi nhuận được nhận,927.529.358.389,777.100.000.000,,927529358389.0,777100000000.0
Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Doanh thu dịch vụ,,,,,
Bảo Việt Nhân thọ,Bảo Việt Nhân thọ > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,CNTT,93.842.216.911,87.032.988.759,,93842216911.0,87032988759.0
Bảo Việt Nhân thọ,Bảo Việt Nhân thọ > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Doanh thu phí đào tạo,2.742.022.088,5.110.770.153,,2742022088.0,5110770153.0
Bảo Việt Nhân thọ,Bảo Việt Nhân thọ > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Thu từ phân bổ chi phí,3.358.906.227,3.679.712.708,,3358906227.0,3679712708.0
Bảo hiểm Bảo Việt,Bảo Việt Nhân thọ > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Chuyển tiền tăng vốn,(300.000.000.000),(300.000.000.000),,-300000000000.0,-300000000000.0
Bảo hiểm Bảo Việt,Bảo Việt Nhân thọ > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Lợi nhuận được nhận,61.217.196.023,-,,61217196023.0,
Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Doanh thu dịch vụ,,,,,
Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,CNTT,77.923.318.524,71.301.719.935,,77923318524.0,71301719935.0
Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Doanh thu phí đào tạo,637.500.000,1.628.255.910,,637500000.0,1628255910.0
Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Doanh thu cho thuê văn phòng,2.123.911.601,-,,2123911601.0,
Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Thu từ phân bổ chi phí,3.358.906.227,3.630.804.037,,3358906227.0,3630804037.0
Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Thu từ thanh lý tài sản,171.818.182,-,,171818182.0,
BVF,Bảo hiểm Bảo Việt > BVF,BVF,Lợi nhuận được nhận,33.579.331.147,31.400.000.000,,33579331147.0,31400000000.0
BVF,BVF,BVF,Doanh thu dịch vụ,,,,,
BVF,BVF > BVF,BVF,CNTT,1.562.504.662,1.637.417.503,,1562504662.0,1637417503.0
BVF,BVF > BVF,BVF,Doanh thu phí đào tạo,252.000.000,95.161.491,,252000000.0,95161491.0
