row_label_raw,row_label_full,Bên liên quan > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),Mối quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),numeric__Mối quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),numeric__Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),numeric__Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),numeric__Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20)
Phải trả dàl hạn khác (Thuyết minh số 23),Phải trả dàl hạn khác (Thuyết minh số 23),Phải trả dàl hạn khác (Thuyết minh số 23),Phải trả dàl hạn khác (Thuyết minh số 23),Phải trả dàl hạn khác (Thuyết minh số 23),Phải trả dàl hạn khác (Thuyết minh số 23),Phải trả dàl hạn khác (Thuyết minh số 23),,,,
Công tyVincommerce,Phải trả dàl hạn khác (Thuyết minh số 23) > Công tyVincommerce,Công tyVincommerce,Công ty trongcùng Tập đoàn,Đặt cọc thuê mặt bằng TTTM,19.185.488.583,39.249.715.028,,,19185488583.0,39249715028.0
Công ty VinDS,Phải trả dàl hạn khác (Thuyết minh số 23) > Công ty VinDS,Công ty VinDS,Công ty trongcùng Tập đoàn,Đặt cọc thuê mặt bằng TTTM,9.065.521.176,1.187.111.153,,,9065521176.0,1187111153.0
Công ty Cổ phầnVinpearlland,Phải trả dàl hạn khác (Thuyết minh số 23) > Công ty Cổ phầnVinpearlland,Công ty Cổ phầnVinpearlland,Công ty trongcùng Tập đoàn,Đặt cọc thuê mặt bằng TTTM,7.800.269.100,25.872.792.922,,,7800269100.0,25872792922.0
Công ty BFF,Phải trả dàl hạn khác (Thuyết minh số 23) > Công ty BFF,Công ty BFF,Công ty trongcùng Tập đoàn,Đặt cọc thuê mặt bằng TTTM,4.230.819.046,3.547.569.312,,,4230819046.0,3547569312.0
Các bên liên quankhác,Phải trả dàl hạn khác (Thuyết minh số 23) > Các bên liên quankhác,Các bên liên quankhác,,Đặt cọc thuê mặt bằng TTTM,4.076.580.073,8.828.268.621,,,4076580073.0,8828268621.0
,,,,,44.358.677.978,78.685.457.036,,,44358677978.0,78685457036.0
Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),,,,
Công tyVincommerce,Doanh thu chưa thực hiện (Thuyết minh số 24) > Công tyVincommerce,Công tyVincommerce,Công ty trongcùng Tập đoàn,"Doanh thu từ cung cấp dịch vụ quản lý, cho thuê và các dịch vụ liên quan",47.048.533.346,59.000.000.000,,,47048533346.0,59000000000.0
Các bên liên quankhác,Doanh thu chưa thực hiện (Thuyết minh số 24) > Các bên liên quankhác,Các bên liên quankhác,,,271.059.624,430.000.000,,,271059624.0,430000000.0
,,,,,47.319.592.970,59.430.000.000,,,47319592970.0,59430000000.0
