row_label_raw,row_label_full,Bên liên quan > Phải thu khác (Thuyết minh số 7),Mối quan hệ > Phải thu khác (Thuyết minh số 7),Nội dung nghiệp vụ > Phải thu khác (Thuyết minh số 7),Số cuối năm > Phải thu khác (Thuyết minh số 7),Đơn vị tính: VND Số đầu năm > Phải thu khác (Thuyết minh số 7),numeric__Mối quan hệ > Phải thu khác (Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Phải thu khác (Thuyết minh số 7),numeric__Số cuối năm > Phải thu khác (Thuyết minh số 7),numeric__Đơn vị tính: VND Số đầu năm > Phải thu khác (Thuyết minh số 7)
Tài sản ngắn hạn khác (Thuyết minh số 11),Tài sản ngắn hạn khác (Thuyết minh số 11),Tài sản ngắn hạn khác (Thuyết minh số 11),Tài sản ngắn hạn khác (Thuyết minh số 11),Tài sản ngắn hạn khác (Thuyết minh số 11),Tài sản ngắn hạn khác (Thuyết minh số 11),Tài sản ngắn hạn khác (Thuyết minh số 11),,,,
Tập đoàn Vingroup– Công ty CP,Tài sản ngắn hạn khác (Thuyết minh số 11) > Tập đoàn Vingroup– Công ty CP,Tập đoàn Vingroup– Công ty CP,Công ty mẹ,Đặt cọc hợp tácđầu tư,950.481.728.811,810.514.542.712,,,950481728811.0,810514542712.0
Credit Suisse,Tài sản ngắn hạn khác (Thuyết minh số 11) > Credit Suisse,Credit Suisse,Cổ đông,Tạm ứng cổ tức,-,69.643.218.729,,,,69643218729.0
Warburg Pincus,Tài sản ngắn hạn khác (Thuyết minh số 11) > Warburg Pincus,Warburg Pincus,Cổ đông,Tạm ứng cổ tức,-,208.929.656.186,,,,208929656186.0
,,,,,950.481.728.811,1.089.087.417.627,,,950481728811.0,1089087417627.0
Phải trả người bán ngắn hạn (Thuyết minh số 19),Phải trả người bán ngắn hạn (Thuyết minh số 19),Phải trả người bán ngắn hạn (Thuyết minh số 19),Phải trả người bán ngắn hạn (Thuyết minh số 19),Phải trả người bán ngắn hạn (Thuyết minh số 19),Phải trả người bán ngắn hạn (Thuyết minh số 19),Phải trả người bán ngắn hạn (Thuyết minh số 19),,,,
Công ty Xây dựngVincom 1,Phải trả người bán ngắn hạn (Thuyết minh số 19) > Công ty Xây dựngVincom 1,Công ty Xây dựngVincom 1,Công ty trongcùng Tập đoàn,"Mua hàng hóa,dịch vụ phải trả",197.111.938.285,391.054.008.240,,,197111938285.0,391054008240.0
Tập đoàn Vingroup– Công ty CP,Phải trả người bán ngắn hạn (Thuyết minh số 19) > Tập đoàn Vingroup– Công ty CP,Tập đoàn Vingroup– Công ty CP,Công ty mẹ,"Mua hàng hóa,dịch vụ phải trả",20.868.578.561,52.732.202.507,,,20868578561.0,52732202507.0
Tập đoàn Vingroup– Công ty CP,Phải trả người bán ngắn hạn (Thuyết minh số 19) > Tập đoàn Vingroup– Công ty CP,Tập đoàn Vingroup– Công ty CP,Công ty mẹ,Chi hộ phải trả,2.428.000,-,,,2428000.0,
Công ty Xây dựngVincom 6,Phải trả người bán ngắn hạn (Thuyết minh số 19) > Công ty Xây dựngVincom 6,Công ty Xây dựngVincom 6,Công ty trongcùng Tập đoàn,"Mua hàng hóa,dịch vụ phải trả",25.586.470.362,-,,,25586470362.0,
Công ty TNHH Kinhdoanh Bất độngsản Vinhomes 2,Công ty TNHH Kinhdoanh Bất độngsản Vinhomes 2,Công ty TNHH Kinhdoanh Bất độngsản Vinhomes 2,Công ty trongcùng Tập đoàn,"Mua hàng hóa,dịch vụ phải trả",,,,,,
Công ty TNHH Kinhdoanh Bất độngsản Vinhomes 2,Công ty TNHH Kinhdoanh Bất độngsản Vinhomes 2 > Công ty TNHH Kinhdoanh Bất độngsản Vinhomes 2,Công ty TNHH Kinhdoanh Bất độngsản Vinhomes 2,Công ty trongcùng Tập đoàn,,3.787.148.225,68.906.859.724,,,3787148225.0,68906859724.0
Công ty TNHHQuản lý Bất độngsản Vinhomes,Công ty TNHH Kinhdoanh Bất độngsản Vinhomes 2 > Công ty TNHHQuản lý Bất độngsản Vinhomes,Công ty TNHHQuản lý Bất độngsản Vinhomes,Công ty trongcùng Tập đoàn(trước đây),"Mua hàng hóa,dịch vụ phải trả",-,15.472.485.681,,,,15472485681.0
Các bên liên quankhác,Công ty TNHH Kinhdoanh Bất độngsản Vinhomes 2 > Các bên liên quankhác,Các bên liên quankhác,,Phải trả khác,17.339.530.417,29.329.442.375,,,17339530417.0,29329442375.0
,,,,,264.696.093.850,557.494.998.527,,,264696093850.0,557494998527.0
