row_label_raw,row_label_full,col_0,Xây dựng,Kinh doanhbất động sản,Hàng hóa khác,Điều chỉnh và loại trừ,VNDTổng cộng,numeric__Xây dựng,numeric__Kinh doanhbất động sản,numeric__Hàng hóa khác,numeric__Điều chỉnh và loại trừ,numeric__VNDTổng cộng
Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tài sản của bộ phận,Tài sản và nợ phải trả > Tài sản của bộ phận,Tài sản của bộ phận,13.400.435.785.869,747.378.147.062,1.421.112.030.706,-,15.568.925.963.637,13400435785869.0,747378147062.0,1421112030706.0,,15568925963637.0
Tiền và tương đương tiền,Tài sản và nợ phải trả > Tiền và tương đương tiền,Tiền và tương đương tiền,-,-,-,-,574.331.812.913,,,,,574331812913.0
Đầu tư vào công ty liên kết,Tài sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,-,-,-,-,296.392.270.680,,,,,296392270680.0
Tài sản không phân bổ,Tài sản và nợ phải trả > Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,281.646.861.382,,,,,281646861382.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,-,-,-,-,16.721.296.908.612,,,,,16721296908612.0
Nợ phải trả của bộ phận,Tài sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(11.328.892.733.414),(427.772.795.262),(708.455.347.266),-,(12.465.120.875.942)(296.412.309.311),-11328892733414.0,-427772795262.0,-708455347266.0,,
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,(12.465.120.875.942)(296.412.309.311),,,,,
Tổng nợ phải trả,Nợ phải trả không phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,-,-,-,-,(12.761.533.185.253),,,,,-12761533185253.0
