row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thếng dư vốn cổ phần VND,Vốn khác (I) VND,Cổ phiếu quy VND,Chính lệch dành giá lại lái sản (II) VND,Chính lệch tỷ giá hổl dosi VND,Quỹ đầu tư phát triển VND,Quỹ khác zhước vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phần phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thếng dư vốn cổ phần VND,numeric__Vốn khác (I) VND,numeric__Cổ phiếu quy VND,numeric__Chính lệch dành giá lại lái sản (II) VND,numeric__Chính lệch tỷ giá hổl dosi VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác zhước vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phần phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Các Horizon đồng khác về vốn chủ sở hữu,Các Horizon đồng khác về vốn chủ sở hữu,Các Horizon đồng khác về vốn chủ sở hữu,-,(335.958.797),623.877.321,-,7.590.455.900,(2.128.543.579),10.278.602.258,(2.350.997.684),(10.518.242.364),(6.638.026.622),(3.478.833.567),,-335958797.0,623877321.0,,7590455900.0,-2128543579.0,10278602258.0,-2350997684.0,-10518242364.0,-6638026622.0,-3478833567.0
Các Horizon đồng kết và vốn chủ sở hữu,Các Horizon đồng kết và vốn chủ sở hữu,Các Horizon đồng kết và vốn chủ sở hữu,-,(335.958.797),623.877.321,-,7.590.455.900,(2.128.543.579),10.278.602.258,(2.350.997.684),(4.303.442.559),2.262.918.888,11.634.911.748,,-335958797.0,623877321.0,,7590455900.0,-2128543579.0,10278602258.0,-2350997684.0,-4303442559.0,2262918888.0,11634911748.0
Đedu chính Since hóa cือ của Kõm toán Nhà nước (Thực marksh 35),Đedu chính Since hóa cือ của Kõm toán Nhà nước (Thực marksh 35),Đedu chính Since hóa cือ của Kõm toán Nhà nước (Thực marksh 35),-,-,-,-,-,-,-,-,(6.312.799.805),(8.900.945.510),(15.113.745.315),,,,,,,,,-6312799805.0,-8900945510.0,-15113745315.0
Số dư tạ ngレイ 1/1/2016 - đã báo ciao trước đây,Số dư tạ ngレイ 1/1/2016 - đã báo ciao trước đây,Số dư tạ ngレイ 1/1/2016 - đã báo ciao trước đây,10.700.000.000.000,164.462.417,866.234.135.320,-,(1.317.118.937.352),(65.910.358.919),686.086.586.574,57.603.752.588,2.474.951.325.874,2.888.793.357.313,16.290.804.323.817,10700000000000.0,164462417.0,866234135320.0,,-1317118937352.0,-65910358919.0,686086586574.0,57603752588.0,2474951325874.0,2888793357313.0,16290804323817.0
Đedu chính Since hóa cือ của Kõm toán Nhà nước (Thực marksh 35),Đedu chính Since hóa cือ của Kõm toán Nhà nước (Thực marksh 35),Đedu chính Since hóa cือ của Kõm toán Nhà nước (Thực marksh 35),-,-,-,-,-,-,-,-,347.874.175.195,(6.891.451.944),340.982.723.251,,,,,,,,,347874175195.0,-6891451944.0,340982723251.0
Số dư tạ ngレイ 1/1/2016 - đã điều chỉnh lại,Số dư tạ ngレイ 1/1/2016 - đã điều chỉnh lại,Số dư tạ ngレイ 1/1/2016 - đã điều chỉnh lại,10.700.000.000.000,164.462.417,866.234.135.320,-,(1.317.118.937.352),(65.910.358.919),686.086.586.574,57.603.752.588,2.822.825.501.069,2.881.901.905.371,16.631.787.047.068,10700000000000.0,164462417.0,866234135320.0,,-1317118937352.0,-65910358919.0,686086586574.0,57603752588.0,2822825501069.0,2881901905371.0,16631787047068.0
Phân [%]chi có phiếu,Phân [%]chi có phiếu,Phân [%]chi có phiếu,1.035.284.760.000,3.004.085.788.092,-,-,-,-,-,-,-,21.377.140.473,4.060.747.688.565,1035284760000.0,3004085788092.0,,,,,,,,21377140473.0,4060747688565.0
Các chỉ phí trực tiếp liêm quan đení việc phát hành cổ phiếu,Các chỉ phí trực tiếp liêm quan đení việc phát hành cổ phiếu,Các chỉ phí trực tiếp liêm quan đení việc phát hành cổ phiếu,-,(620.000.000),-,-,-,-,-,-,-,-,(620.000.000),,-620000000.0,,,,,,,,,-620000000.0
Đedu chính giảm vốn cổ phần chiếu chưa phân hành của Nhà nước,Đedu chính giảm vốn cổ phần chiếu chưa phân hành của Nhà nước,Đedu chính giảm vốn cổ phần chiếu chưa phân hành của Nhà nước,(347.152.410.000),-,-,-,-,-,-,-,-,-,(347.152.410.000),-347152410000.0,,,,,,,,,,-347152410000.0
Phân hành cổ phiếu trả đã hoàn lại từ lot nhân sau thuế,Phân hành cổ phiếu trả đã hoàn lại từ lot nhân sau thuế,Phân hành cổ phiếu trả đã hoàn lại từ lot nhân sau thuế,-,-,-,-,-,-,-,-,(1.550.648.460.000),-,(1.550.648.460.000),,,,,,,,,-1550648460000.0,,-1550648460000.0
Mua lại cổ phiếu run đã hoàn lại và chuyển đổi thành cổ phiếu phổ dưỡng,Mua lại cổ phiếu run đã hoàn lại và chuyển đổi thành cổ phiếu phổ dưỡng,Mua lại cổ phiếu run đã hoàn lại và chuyển đổi thành cổ phiếu phổ dưỡng,1.550.648.460.000,-,-,(1.550.648.460.000),-,-,-,-,-,-,-,1550648460000.0,,,-1550648460000.0,,,,,,,
Lot nhân thuần trong năm,Lot nhân thuần trong năm,Lot nhân thuần trong năm,-,-,-,-,-,-,-,-,4.669.396.347.454,478.037.274.857,5.147.433.622.311,,,,,,,,,4669396347454.0,478037274857.0,5147433622311.0
Chính lệch tỷ giá hóa dealer phát sinh do việc quy đổi các hoạt động ở nước國家,Chính lệch tỷ giá hóa dealer phát sinh do việc quy đổi các hoạt động ở nước國家,Chính lệch tỷ giá hóa dealer phát sinh do việc quy đổi các hoạt động ở nước國家,-,-,-,-,-,(7.926.590.086),-,-,-,-,(7.926.590.086),,,,,,-7926590086.0,,,,,-7926590086.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,-,-,-,(93.035.683.760),(156.927.094.345),(149.962.178.105),,,,,,,,,-93035683760.0,-156927094345.0,-149962178105.0
Cổ phiếu thưởng,Cổ phiếu thưởng,Cổ phiếu thưởng,-,-,88.500.000.000,-,-,-,(81.347.418.133),-,(7.152.581.867),-,-,,,88500000000.0,,,,-81347418133.0,,-7152581867.0,,
Phân bổ vào các quy,Phân bổ vào các quy,Phân bổ vào các quy,-,-,-,-,-,-,173.777.307.892,15.438.333.430,(189.215.641.322),-,-,,,,,,,173777307892.0,15438333430.0,-189215641322.0,,
"Phân bổ vào quy@khen thưởng, phúc lợi","Phân bổ vào quy@khen thưởng, phúc lợi","Phân bổ vào quy@khen thưởng, phúc lợi",-,-,-,-,-,-,-,-,(361.889.981.856),(44.507.819.853),(406.397.801.709),,,,,,,,,-361889981856.0,-44507819853.0,-406397801709.0
Tăng vốn từ quy@dau tư phát triển,Tăng vốn từ quy@dau tư phát triển,Tăng vốn từ quy@dau tư phát triển,-,-,22.836.789.207,-,-,-,(22.836.789.207),-,-,-,-,,,22836789207.0,,,,-22836789207.0,,,,
Throat vốn của cổ đông thiểu số,Throat vốn của cổ đông thiểu số,Throat vốn của cổ đông thiểu số,-,-,-,-,-,-,-,-,-,(41.250.000.000),(41.250.000.000),,,,,,,,,,-41250000000.0,-41250000000.0
Các biến động khác về vốn chủ sở hữu,Các biến động khác về vốn chủ sở hữu,Các biến động khác về vốn chủ sở hữu,-,-,12.542.983.193,-,-,-,(11.987.893.521),7.952.634.979,(128.067.996.611),(15.845.597.046),(135.405.869.006),,,12542983193.0,,,,-11987893521.0,7952634979.0,-128067996611.0,-15845597046.0,-135405869006.0
Số dư tạ ngレイ 31/12/2016,Số dư tạ ngレイ 31/12/2016,Số dư tạ ngレイ 31/12/2016,12.938.780.810.000,3.003.630.250.509,990.113.907.720,(1.550.648.460.000),(1.317.118.937.352),(73.836.949.005),743.691.793.605,80.994.720.997,5.162.212.103.107,3.222.785.809.457,23.200.605.049.038,12938780810000.0,3003630250509.0,990113907720.0,-1550648460000.0,-1317118937352.0,-73836949005.0,743691793605.0,80994720997.0,5162212103107.0,3222785809457.0,23200605049038.0
