row_label_raw,row_label_full,col_0,Kinh doanh xăng dầu,Kinh doanh xăng dầu_1,Kinh doanh các sản phẩm hóa dầu,Kinh doanh các sản phẩm gas,Kinh doanh dịch vụ basis hiểm,Kinh doanh dịch vụ vận tải,"Kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng (Dã điều chỉnh lại),numeric__Kinh doanh xăng dầu,numeric__Kinh doanh xăng dầu_1,numeric__Kinh doanh các sản phẩm hóa dầu,numeric__Kinh doanh các sản phẩm gas,numeric__Kinh doanh dịch vụ basis hiểm,numeric__Kinh doanh dịch vụ vận tải,"numeric__Kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng (Dã điều chỉnh lại)
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,5.167.841.186,-,-,7.739.071.205,55.373.517.118,155.140.061.423,4.251.514.296,-,227.672.005.228,5167841186.0,,,7739071205.0,55373517118.0,155140061423.0,4251514296.0,,227672005228.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,218.556.516.457,26.164.599.755,181.756.099.118,19.841.624.864,19.902.936.883,153.533.847.046,80.635.214.943,-,700.390.839.066,218556516457.0,26164599755.0,181756099118.0,19841624864.0,19902936883.0,153533847046.0,80635214943.0,,700390839066.0
Các khoản đầu tư tài chính dài hạn,Tài sản > Các khoản đầu tư tài chính dài hạn,Các khoản đầu tư tài chính dài hạn,5.936.220.845.375,10.000.000.000,61.047.511.083,397.000.000.000,126.587.525.000,212.680.230.008,49.670.606.705,(3.835.641.321.943),2.957.565.396.228,5936220845375.0,10000000000.0,61047511083.0,397000000000.0,126587525000.0,212680230008.0,49670606705.0,-3835641321943.0,2957565396228.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,779.414.577.484,96.314.086.390,104.878.415.570,321.762.361.429,10.653.817.462,45.566.797.727,16.432.733.617,(3.829.288.622),1.371.193.501.057,779414577484.0,96314086390.0,104878415570.0,321762361429.0,10653817462.0,45566797727.0,16432733617.0,-3829288622.0,1371193501057.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,33.941.570.235.719,5.127.824.832.084,4.171.554.260.118,2.017.531.106.986,3.717.220.008.528,5.998.137.627.005,4.970.663.555.815,(9.099.873.654.180),50.844.627.972.075,33941570235719.0,5127824832084.0,4171554260118.0,2017531106986.0,3717220008528.0,5998137627005.0,4970663555815.0,-9099873654180.0,50844627972075.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,19.296.586.207.037,5.991.854.449.275,2.980.266.323.587,1.229.384.018.742,2.904.212.022.263,1.140.947.785.731,2.231.086.493.641,(4.684.013.056.295),31.090.324.243.981,19296586207037.0,5991854449275.0,2980266323587.0,1229384018742.0,2904212022263.0,1140947785731.0,2231086493641.0,-4684013056295.0,31090324243981.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,350.713.716.102,-,27.750.000.000,156.318.895.089,9.273.051.993,1.235.841.578.843,1.513.143.128.185,(170.523.689.186),3.122.516.681.026,350713716102.0,,27750000000.0,156318895089.0,9273051993.0,1235841578843.0,1513143128185.0,-170523689186.0,3122516681026.0
Tổng nợ phải trả hợp nhất,Nợ phải trả > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,19.647.299.923.139,5.991.854.449.275,3.008.016.323.587,1.385.702.913.831,2.913.485.074.256,2.376.789.364.574,3.744.229.621.826,(4.854.536.745.481),34.212.840.925.007,19647299923139.0,5991854449275.0,3008016323587.0,1385702913831.0,2913485074256.0,2376789364574.0,3744229621826.0,-4854536745481.0,34212840925007.0
Chi tiêu vốn,Nợ phải trả > Chi tiêu vốn,Chi tiêu vốn,1.003.875.821.057,207.869.705.903,153.701.261.624,100.042.833.781,50.677.625.923,437.666.196.650,79.350.382.484,(97.636.138.765),1.935.547.688.657,1003875821057.0,207869705903.0,153701261624.0,100042833781.0,50677625923.0,437666196650.0,79350382484.0,-97636138765.0,1935547688657.0
Khấu hao tài sản cố định hữu hình,Nợ phải trả > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,744.375.198.773,45.109.446.466,77.701.862.272,44.942.558.684,21.961.499.890,586.300.518.633,196.695.171.966,(46.438.546.573),1.670.647.710.111,744375198773.0,45109446466.0,77701862272.0,44942558684.0,21961499890.0,586300518633.0,196695171966.0,-46438546573.0,1670647710111.0
Khấu hao tài sản cố định vô hình,Nợ phải trả > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,83.131.651.103,801.042.901,1.450.264.848,3.142.220.630,8.934.048.852,2.431.642.428,1.077.093.955,-,100.967.964.717,83131651103.0,801042901.0,1450264848.0,3142220630.0,8934048852.0,2431642428.0,1077093955.0,,100967964717.0
Khấu hao bất động sản đầu tư,Nợ phải trả > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,301.181.719,-,-,182.593.332,2.300.124.300,6.406.286.756,377.412.048,-,9.567.598.155,301181719.0,,,182593332.0,2300124300.0,6406286756.0,377412048.0,,9567598155.0
