row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số cuối năm > Giá gốc_1,Số cuối năm > Dự phòng_1,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc_1,numeric__Số cuối năm > Dự phòng_1,numeric__Số đầu năm > Giá trị hợp lý
Công ty Cổ phần Viglacera Hà Nội (ii),Công ty Cổ phần Viglacera Hà Nội (ii),Công ty Cổ phần Viglacera Hà Nội (ii),28.560.000.000,-,39.984.000.000,28.560.000.000,-,27.132.000.000,28560000000.0,,39984000000.0,28560000000.0,,27132000000.0
Công ty Cổ phần Bê tông khí Viglacera (i),Công ty Cổ phần Bê tông khí Viglacera (i),Công ty Cổ phần Bê tông khí Viglacera (i),62.200.000.000,(62.200.000.000),,62.200.000.000,(62.200.000.000),-,62200000000.0,-62200000000.0,,62200000000.0,-62200000000.0,
Công ty Cổ phần Bao bì và Má phanh Viglacera (i),Công ty Cổ phần Bao bì và Má phanh Viglacera (i),Công ty Cổ phần Bao bì và Má phanh Viglacera (i),6.553.719.948,-,,6.553.719.948,-,,6553719948.0,,,6553719948.0,,
Công ty Cổ phần Viglacera Hạ Long (iii),Công ty Cổ phần Viglacera Hạ Long (iii),Công ty Cổ phần Viglacera Hạ Long (iii),226.136.894.000,-,340.719.750.000,226.136.894.000,-,340.719.750.000,226136894000.0,,340719750000.0,226136894000.0,,340719750000.0
Công ty Cổ phần Từ Liêm (i),Công ty Cổ phần Từ Liêm (i),Công ty Cổ phần Từ Liêm (i),22.876.640.252,(22.876.640.252),-,22.876.640.252,(20.224.402.790),,22876640252.0,-22876640252.0,,22876640252.0,-20224402790.0,
Công ty Cổ phần 382 Đông Anh (ii),Công ty Cổ phần 382 Đông Anh (ii),Công ty Cổ phần 382 Đông Anh (ii),3.895.380.000,(3.303.486.914),3.280.320.000,3.895.380.000,(1.462.421.439),1.845.180.000,3895380000.0,-3303486914.0,3280320000.0,3895380000.0,-1462421439.0,1845180000.0
Công ty Cổ phần Gốm Xây dựng Hữu Hưng (i),Công ty Cổ phần Gốm Xây dựng Hữu Hưng (i),Công ty Cổ phần Gốm Xây dựng Hữu Hưng (i),5.246.606.313,(5.246.606.312),-,5.246.606.313,(5.246.606.312),-,5246606313.0,-5246606312.0,,5246606313.0,-5246606312.0,
Công ty Cổ phần Tư vấn Viglacera (i),Công ty Cổ phần Tư vấn Viglacera (i),Công ty Cổ phần Tư vấn Viglacera (i),2.823.344.712,-,,2.823.344.712,-,,2823344712.0,,,2823344712.0,,
Công ty Cổ phần Phát triển Khu công nghiệp Viglacera Yên Mỹ - Hưng Yên (i),Công ty Cổ phần Phát triển Khu công nghiệp Viglacera Yên Mỹ - Hưng Yên (i),Công ty Cổ phần Phát triển Khu công nghiệp Viglacera Yên Mỹ - Hưng Yên (i),30.000.000.000,-,,30.000.000.000,-,,30000000000.0,,,30000000000.0,,
Công ty TNHH CHAO - Viglacera (i),Công ty TNHH CHAO - Viglacera (i),Công ty TNHH CHAO - Viglacera (i),3.146.015.300,-,,3.146.015.300,-,,3146015300.0,,,3146015300.0,,
Công ty ViMariel - CTCP (i),Công ty ViMariel - CTCP (i),Công ty ViMariel - CTCP (i),221.960.960.240,-,,198.079.457.214,-,,221960960240.0,,,198079457214.0,,
