row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024Triệu đồng,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024Triệu đồng,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023Triệu đồng
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,,
10,Những thay đổi về tài sản hoạt động > 10,10,(Tăng)/giảm các khoản về kinh doanh chứng khoán,,(24.200.443),2.067.087,,,-24200443.0,2067087.0
11,Những thay đổi về tài sản hoạt động > 11,11,(Tăng)/giảm các công cụ tài chính phải sinh và các tài sản tài chính khác,,(291.886),120.182,,,-291886.0,120182.0
12,Những thay đổi về tài sản hoạt động > 12,12,Tăng các khoản cho vay khách hàng và hoạt động mua nợ,,(25.505.973),(9.943.310),,,-25505973.0,-9943310.0
13,Những thay đổi về tài sản hoạt động > 13,13,Giảm nguồn dự phòng để bù đắp tổn thất các khoản,8.8,(729.693),(468.071),,88.0,-729693.0,-468071.0
14,Những thay đổi về tài sản hoạt động > 14,14,Tăng khác về tài sản hoạt động,,(123.347),(1.091),,,-123347.0,-1091.0
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,,
15,Những thay đổi về công nợ hoạt động > 15,15,Tăng/(giảm) các khoản nợ Chính phủ và NHNN,,2.059.640,(4.391),,,2059640.0,-4391.0
16,Những thay đổi về công nợ hoạt động > 16,16,Tăng các khoản tiền gửi và vay các TCTD khác,,13.306.461,4.470.843,,,13306461.0,4470843.0
17,Những thay đổi về công nợ hoạt động > 17,17,Tăng tiền gửi của khách hàng,,11.167.211,7.840.036,,,11167211.0,7840036.0
18,Những thay đổi về công nợ hoạt động > 18,18,Tăng phát hành giấy tờ có giá,,8.864.503,2.000.000,,,8864503.0,2000000.0
20,Những thay đổi về công nợ hoạt động > 20,20,(Giảm)/tăng các công cụ tài chính phải sinh và các khoản nợ tài chính khác,,(230.822),230.822,,,-230822.0,230822.0
21,Những thay đổi về công nợ hoạt động > 21,21,Tăng/(giảm) khác về công nợ hoạt động,,635.300,(155.753),,,635300.0,-155753.0
22,Những thay đổi về công nợ hoạt động > 22,22,Chi từ các quỹ của TCTD,,(137),-,,,-137.0,
I,Những thay đổi về công nợ hoạt động > I,I,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,,(11.230.039),9.224.474,,,-11230039.0,9224474.0
