row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),75.000,-,212.868,-,6.100.000,9.253.672,13.714.820,29.356.360,75000.0,,212868.0,,6100000.0,9253672.0,13714820.0,29356360.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,300.000,300.000,,,,,,,300000.0,300000.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,-,-,19,105,10.847,633.925,3.106.338,3.751.234,,,19.0,105.0,10847.0,633925.0,3106338.0,3751234.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),465.814,-,862.749,663.268,634.520,900.255,29.472,3.556.078,465814.0,,862749.0,663268.0,634520.0,900255.0,29472.0,3556078.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.721.623,1.671.528,44.520.433,42.916.465,62.969.759,34.181.408,51.521.747,242.502.963,4721623.0,1671528.0,44520433.0,42916465.0,62969759.0,34181408.0,51521747.0,242502963.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,2.064.679,-,14.831,-,-,2.079.510,,,2064679.0,,14831.0,,,2079510.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,17.598.967,8.448.870,3.622.493,-,-,29.670.330,,,17598967.0,8448870.0,3622493.0,,,29670330.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,60.863.375,37.988.696,59.459.488,9.509.704,-,167.821.263,,,60863375.0,37988696.0,59459488.0,9509704.0,,167821263.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,7.200.000,3.664.503,-,10.864.503,,,,,7200000.0,3664503.0,,10864503.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.449.270,947.241,922.671,256.897,-,4.576.079,,,2449270.0,947241.0,922671.0,256897.0,,4576079.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,82.976.291,47.384.807,71.219.483,13.431.104,-,215.011.685,,,82976291.0,47384807.0,71219483.0,13431104.0,,215011685.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,4.721.623,1.671.528,(38.455.858),(4.468.342),(8.249.724),20.750.304,51.521.747,27.491.278,4721623.0,1671528.0,-38455858.0,-4468342.0,-8249724.0,20750304.0,51521747.0,27491278.0
