row_label_raw,row_label_full,14. Chi phí xây dựng cơ bản dở dang,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Công ty CP Trang trí nội thất Mộc Đại,16. Phải trả người bán ngắn hạn > Công ty CP Trang trí nội thất Mộc Đại,Công ty CP Trang trí nội thất Mộc Đại,2.076.473.392,2.076.473.392,2076473392.0,2076473392.0
Công ty TNHH CP Kỹ thuật TM-DV kỹ nghệ Việt,16. Phải trả người bán ngắn hạn > Công ty TNHH CP Kỹ thuật TM-DV kỹ nghệ Việt,Công ty TNHH CP Kỹ thuật TM-DV kỹ nghệ Việt,8.678.346.800,,8678346800.0,
Công ty CP ĐT PTXD Phước An,16. Phải trả người bán ngắn hạn > Công ty CP ĐT PTXD Phước An,Công ty CP ĐT PTXD Phước An,4.305.324.794,,4305324794.0,
Công ty CP Đầu tư Nam Á,16. Phải trả người bán ngắn hạn > Công ty CP Đầu tư Nam Á,Công ty CP Đầu tư Nam Á,2.990.867.646,,2990867646.0,
Liên danh Công ty Lê Huỳnh - Sông La,16. Phải trả người bán ngắn hạn > Liên danh Công ty Lê Huỳnh - Sông La,Liên danh Công ty Lê Huỳnh - Sông La,2.690.489.000,,2690489000.0,
DNTN Ngọc Hà,16. Phải trả người bán ngắn hạn > DNTN Ngọc Hà,DNTN Ngọc Hà,183.621.355,2.181.932.770,183621355.0,2181932770.0
Công ty TNHH Xây dựng Đất Lợi,16. Phải trả người bán ngắn hạn > Công ty TNHH Xây dựng Đất Lợi,Công ty TNHH Xây dựng Đất Lợi,320.560.013,1.990.186.650,320560013.0,1990186650.0
Công ty TNHH Kim Hưng Phát,16. Phải trả người bán ngắn hạn > Công ty TNHH Kim Hưng Phát,Công ty TNHH Kim Hưng Phát,1.863.735.720,6.847.981.626,1863735720.0,6847981626.0
Công ty TNHH TMDV An Đại Phát,16. Phải trả người bán ngắn hạn > Công ty TNHH TMDV An Đại Phát,Công ty TNHH TMDV An Đại Phát,685.118.711,2.889.056.571,685118711.0,2889056571.0
Công ty CP Cơ khí nội thất Đức Vinh,16. Phải trả người bán ngắn hạn > Công ty CP Cơ khí nội thất Đức Vinh,Công ty CP Cơ khí nội thất Đức Vinh,3.532.506.150,,3532506150.0,
Công ty TNHH TM&DV CN Hưng Việt,16. Phải trả người bán ngắn hạn > Công ty TNHH TM&DV CN Hưng Việt,Công ty TNHH TM&DV CN Hưng Việt,2.494.756.677,,2494756677.0,
Công ty CP Dịch vụ xây lắp Hạ tầng,16. Phải trả người bán ngắn hạn > Công ty CP Dịch vụ xây lắp Hạ tầng,Công ty CP Dịch vụ xây lắp Hạ tầng,1.048.120.406,,1048120406.0,
Công ty TNHH MTV DVKTDK OSC,16. Phải trả người bán ngắn hạn > Công ty TNHH MTV DVKTDK OSC,Công ty TNHH MTV DVKTDK OSC,1.981.863.958,,1981863958.0,
Công ty TNHH XD CT Thành Đạt,16. Phải trả người bán ngắn hạn > Công ty TNHH XD CT Thành Đạt,Công ty TNHH XD CT Thành Đạt,1.549.904.942,44.994.849,1549904942.0,44994849.0
Công ty TNHH MTV NT3 (Tín Nghĩa),16. Phải trả người bán ngắn hạn > Công ty TNHH MTV NT3 (Tín Nghĩa),Công ty TNHH MTV NT3 (Tín Nghĩa),,4.855.914.051,,4855914051.0
Công ty CP TM XD Lê Nguyễn,16. Phải trả người bán ngắn hạn > Công ty CP TM XD Lê Nguyễn,Công ty CP TM XD Lê Nguyễn,,2.170.570.000,,2170570000.0
Công ty TNHH DV VT Nam Thành,16. Phải trả người bán ngắn hạn > Công ty TNHH DV VT Nam Thành,Công ty TNHH DV VT Nam Thành,,2.075.452.461,,2075452461.0
Công ty CP kinh doanh VLXD số 15,16. Phải trả người bán ngắn hạn > Công ty CP kinh doanh VLXD số 15,Công ty CP kinh doanh VLXD số 15,3.136.150.476,3.112.651.476,3136150476.0,3112651476.0
Công ty TNHH PJ Vina,16. Phải trả người bán ngắn hạn > Công ty TNHH PJ Vina,Công ty TNHH PJ Vina,,3.961.266.919,,3961266919.0
Công ty Cổ phần Sữa Việt Nam,16. Phải trả người bán ngắn hạn > Công ty Cổ phần Sữa Việt Nam,Công ty Cổ phần Sữa Việt Nam,16.463.215.939,3.526.161.174,16463215939.0,3526161174.0
DNTN Quang Thạnh,16. Phải trả người bán ngắn hạn > DNTN Quang Thạnh,DNTN Quang Thạnh,1.235.151.974,,1235151974.0,
