row_label_raw,row_label_full,Nội dung nghiệp vụ/Bên liên quan,Mối quan hệ,Giá trị giao dịch VND,Số dư cuối kỳ phải thu/(phải trả) VND,numeric__Mối quan hệ,numeric__Giá trị giao dịch VND,numeric__Số dư cuối kỳ phải thu/(phải trả) VND
Công ty CP Gạch men Anh em DIC,Phải thu khác ngắn hạn > Công ty CP Gạch men Anh em DIC,Công ty CP Gạch men Anh em DIC,Công ty liên kết,1.267.361.110,8.101.900.556,,1267361110.0,8101900556.0
Công ty CP ĐTPTXD DLThể thao VT,Phải thu khác ngắn hạn > Công ty CP ĐTPTXD DLThể thao VT,Công ty CP ĐTPTXD DLThể thao VT,Công ty liên kết,-,309.795.286,,,309795286.0
Công ty CP DIC Số 4,Phải thu khác ngắn hạn > Công ty CP DIC Số 4,Công ty CP DIC Số 4,Bên liên quan,1.540.222.223,740.222.223,,1540222223.0,740222223.0
Chi nhánh Công ty CP Đầu tư XD A.T.A,Phải thu khác ngắn hạn > Chi nhánh Công ty CP Đầu tư XD A.T.A,Chi nhánh Công ty CP Đầu tư XD A.T.A,Bên liên quan,47.494.686.304,-,,47494686304.0,
Công ty CP Đầu tư xây dựng A.T.A,Phải thu khác ngắn hạn > Công ty CP Đầu tư xây dựng A.T.A,Công ty CP Đầu tư xây dựng A.T.A,Bên liên quan,316.616.693,-,,316616693.0,
Phải thu về cho vay ngắn hạn,Phải thu khác ngắn hạn > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,55.500.000.000,38.955.480.742,,55500000000.0,38955480742.0
Công ty CP ĐTPTXD DLThể thao VT,Phải thu khác ngắn hạn > Công ty CP ĐTPTXD DLThể thao VT,Công ty CP ĐTPTXD DLThể thao VT,Công ty liên kết,2.500.000.000,-,,2500000000.0,
Công ty CP Đầu tư phát triển Phương Nam,Phải thu khác ngắn hạn > Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Đầu tư phát triển Phương Nam,Công ty liên kết,29.000.000.000,35.700.000.000,,29000000000.0,35700000000.0
Công ty CP Đầu tư Phát triển Thiên Tân,Phải thu khác ngắn hạn > Công ty CP Đầu tư Phát triển Thiên Tân,Công ty CP Đầu tư Phát triển Thiên Tân,Cổ đông,4.000.000.000,-,,4000000000.0,
Phải thu về cho vay dài hạn,Phải thu khác ngắn hạn > Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,-,42.722.316.958,,,42722316958.0
Công ty CP Gạch men Anh em DIC,Phải thu khác ngắn hạn > Công ty CP Gạch men Anh em DIC,Công ty CP Gạch men Anh em DIC,Công ty liên kết,-,10.000.000.000,,,10000000000.0
Chi nhánh Công ty CP Đầu tư XD A.T.A,Phải thu khác ngắn hạn > Chi nhánh Công ty CP Đầu tư XD A.T.A,Chi nhánh Công ty CP Đầu tư XD A.T.A,Bên liên quan,-,16.242.803.794,,,16242803794.0
Phải thu về góp vốn liên doanh,Phải thu khác ngắn hạn > Phải thu về góp vốn liên doanh,Phải thu về góp vốn liên doanh,,,87.318.359.768,,,87318359768.0
Công ty CP Đầu tư và Thương mại DIC,Phải thu khác ngắn hạn > Công ty CP Đầu tư và Thương mại DIC,Công ty CP Đầu tư và Thương mại DIC,Bên liên quan,-,3.000.000.000,,,3000000000.0
Chi nhánh Công ty CP Đầu tư XD A.T.A,Phải thu khác ngắn hạn > Chi nhánh Công ty CP Đầu tư XD A.T.A,Chi nhánh Công ty CP Đầu tư XD A.T.A,Bên liên quan,-,84.318.359.768,,,84318359768.0
Phải trả ngắn hạn về cung cấp dịch vụ,Phải trả ngắn hạn về cung cấp dịch vụ,Phải trả ngắn hạn về cung cấp dịch vụ,Phải trả ngắn hạn về cung cấp dịch vụ,Phải trả ngắn hạn về cung cấp dịch vụ,Phải trả ngắn hạn về cung cấp dịch vụ,,,
Công ty CP Bất động sản DIC,Phải trả ngắn hạn về cung cấp dịch vụ > Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,Công ty liên kết,28.572.964.951,(10.115.029.158),,28572964951.0,-10115029158.0
Công ty CP Đầu tư Phát triển Phương Nam,Phải trả ngắn hạn về cung cấp dịch vụ > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty liên kết,2.864.713.581,-,,2864713581.0,
Công ty CP ĐTPTXD DLThể thao VT,Phải trả ngắn hạn về cung cấp dịch vụ > Công ty CP ĐTPTXD DLThể thao VT,Công ty CP ĐTPTXD DLThể thao VT,Công ty liên kết,15.510.000,-,,15510000.0,
Công ty CP DIC Số 4,Phải trả ngắn hạn về cung cấp dịch vụ > Công ty CP DIC Số 4,Công ty CP DIC Số 4,Bên liên quan,168.488.586.905,(47.868.185.742),,168488586905.0,-47868185742.0
