row_label_raw,row_label_full,10. Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Khoản thuế thu nhập hoãn lại đã được ghi nhận,11. Chi phí thuế thu nhập doanh nghiệp hoãn lại > Khoản thuế thu nhập hoãn lại đã được ghi nhận,Khoản thuế thu nhập hoãn lại đã được ghi nhận,13.761.014.437,(5.367.588.987),13761014437.0,-5367588987.0
Cộng,11. Chi phí thuế thu nhập doanh nghiệp hoãn lại > Cộng,Cộng,13.761.014.437,(5.367.588.987),13761014437.0,-5367588987.0
12. Lãi cơ bản trên cổ phiếu(DIG),12. Lãi cơ bản trên cổ phiếu(DIG),12. Lãi cơ bản trên cổ phiếu(DIG),Năm nayVND,Năm trướcVND,,
Lợi nhuận sau thuế thu nhập doanh nghiệp của công ty mẹ,12. Lãi cơ bản trên cổ phiếu(DIG) > Lợi nhuận sau thuế thu nhập doanh nghiệp của công ty mẹ,Lợi nhuận sau thuế thu nhập doanh nghiệp của công ty mẹ,196.234.898.683,58.445.977.758,196234898683.0,58445977758.0
Các khoản điều chỉnh tăng hoặc (giảm) lợi nhuận,12. Lãi cơ bản trên cổ phiếu(DIG) > Các khoản điều chỉnh tăng hoặc (giảm) lợi nhuận,Các khoản điều chỉnh tăng hoặc (giảm) lợi nhuận,(6.324.881.477),(5.100.000.000),-6324881477.0,-5100000000.0
Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu,12. Lãi cơ bản trên cổ phiếu(DIG) > Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu,Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu,189.910.017.206,53.345.977.758,189910017206.0,53345977758.0
Cổ phiếu đang lưu hành bình quân trong năm,12. Lãi cơ bản trên cổ phiếu(DIG) > Cổ phiếu đang lưu hành bình quân trong năm,Cổ phiếu đang lưu hành bình quân trong năm,238.194.819,223.665.594,238194819.0,223665594.0
Lãi cơ bản trên cổ phiếu,12. Lãi cơ bản trên cổ phiếu(DIG) > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,797,236,797.0,236.0
13. Chi phí sản xuất kinh doanh theo yếu tố,13. Chi phí sản xuất kinh doanh theo yếu tố,13. Chi phí sản xuất kinh doanh theo yếu tố,Năm nayVND,Năm trướcVND,,
"Chi phí nguyên liệu, vật liệu","13. Chi phí sản xuất kinh doanh theo yếu tố > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",977.645.352.921,288.135.812.771,977645352921.0,288135812771.0
Chi phí nhân công,13. Chi phí sản xuất kinh doanh theo yếu tố > Chi phí nhân công,Chi phí nhân công,155.574.593.674,181.042.366.981,155574593674.0,181042366981.0
Chi phí khấu hao tài sản cổ định,13. Chi phí sản xuất kinh doanh theo yếu tố > Chi phí khấu hao tài sản cổ định,Chi phí khấu hao tài sản cổ định,20.893.792.299,23.768.823.401,20893792299.0,23768823401.0
Chi phí dịch vụ mua ngoài,13. Chi phí sản xuất kinh doanh theo yếu tố > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,134.244.498.008,797.517.537.028,134244498008.0,797517537028.0
Chi phí khác bằng tiền,13. Chi phí sản xuất kinh doanh theo yếu tố > Chi phí khác bằng tiền,Chi phí khác bằng tiền,729.729.157.626,103.062.076.357,729729157626.0,103062076357.0
Cộng,13. Chi phí sản xuất kinh doanh theo yếu tố > Cộng,Cộng,2.018.087.394.528,1.393.526.616.538,2018087394528.0,1393526616538.0
