row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2021,Đơn vị tính: VND01/01/2021,numeric__Mã số,numeric__TM,numeric__31/12/2021,numeric__Đơn vị tính: VND01/01/2021
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,5.12,640.229.705.765,698.247.884.781,221.0,512.0,640229705765.0,698247884781.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,994.886.397.983,1.018.235.017.707,222.0,,994886397983.0,1018235017707.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(354.656.692.218),(319.987.132.926),223.0,,-354656692218.0,-319987132926.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,5.9,60.568.394.381,62.302.197.734,227.0,59.0,60568394381.0,62302197734.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,73.625.636.231,73.226.571.231,228.0,,73625636231.0,73226571231.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,(13.057.241.850),(10.924.373.497),229.0,,-13057241850.0,-10924373497.0
III/ Bất động sản đầu tư,III/ Bất động sản đầu tư,III/ Bất động sản đầu tư,230,5.10,24.794.293.605,-,230.0,510.0,24794293605.0,
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,36.155.810.460,-,231.0,,36155810460.0,
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,232,,(11.361.516.855),-,232.0,,-11361516855.0,
IV/ Tài sản dở dang dài hạn,IV/ Tài sản dở dang dài hạn,IV/ Tài sản dở dang dài hạn,240,,276.786.556.429,212.060.440.570,240.0,,276786556429.0,212060440570.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,5.11,276.786.556.429,212.060.440.570,242.0,511.0,276786556429.0,212060440570.0
V/ Đầu tư tài chính dài hạn,V/ Đầu tư tài chính dài hạn,V/ Đầu tư tài chính dài hạn,250,5.15,149.028.326.148,150.655.201.840,250.0,515.0,149028326148.0,150655201840.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,,142.442.751.748,133.797.746.317,252.0,,142442751748.0,133797746317.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,63.853.700.000,63.853.700.000,253.0,,63853700000.0,63853700000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(57.268.125.600),(46.996.244.477),254.0,,-57268125600.0,-46996244477.0
VI/ Tài sản dài hạn khác,VI/ Tài sản dài hạn khác,VI/ Tài sản dài hạn khác,260,,414.303.419.752,415.578.893.028,260.0,,414303419752.0,415578893028.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,5.8,336.455.099.328,361.768.751.901,261.0,58.0,336455099328.0,361768751901.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,,61.229.192,250.067.086,262.0,,61229192.0,250067086.0
3. Lợi thế thương mại,3. Lợi thế thương mại,3. Lợi thế thương mại,269,,77.787.091.232,53.560.074.041,269.0,,77787091232.0,53560074041.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,2.932.844.228.065,3.760.343.370.766,270.0,,2932844228065.0,3760343370766.0
