row_label_raw,row_label_full,TÀI SẢN,MS,TM,31/12/2019VND,01/01/2019VND,numeric__MS,numeric__TM,numeric__31/12/2019VND,numeric__01/01/2019VND
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,5.9,5.631.548.393.651,2.907.338.550.613,221.0,59.0,5631548393651.0,2907338550613.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,6.771.544.992.523,3.839.931.786.001,222.0,,6771544992523.0,3839931786001.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(1.139.996.598.872),(932.593.235.388),223.0,,-1139996598872.0,-932593235388.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,5.8,131.286.760.938,5.868.172.476,227.0,58.0,131286760938.0,5868172476.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,144.439.115.868,8.748.458.388,228.0,,144439115868.0,8748458388.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(13.152.354.930),(2.880.285.912),229.0,,-13152354930.0,-2880285912.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,,-,-,230.0,,,
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,5.10,1.800.047.920.309,4.764.734.435.981,240.0,510.0,1800047920309.0,4764734435981.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,,1.800.047.920.309,4.764.734.435.981,242.0,,1800047920309.0,4764734435981.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,5.2,500.164.965.951,483.788.137.557,250.0,52.0,500164965951.0,483788137557.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,,472.364.965.951,454.658.137.557,252.0,,472364965951.0,454658137557.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,24.130.000.000,24.130.000.000,253.0,,24130000000.0,24130000000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(1.330.000.000),-,254.0,,-1330000000.0,
4. Đầu tư nằm giữ đến ngày đáo hạn,4. Đầu tư nằm giữ đến ngày đáo hạn,4. Đầu tư nằm giữ đến ngày đáo hạn,255,,5.000.000.000,5.000.000.000,255.0,,5000000000.0,5000000000.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,499.984.795.674,323.239.983.164,260.0,,499984795674.0,323239983164.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,5.11,499.984.795.674,323.239.983.164,261.0,511.0,499984795674.0,323239983164.0
VII Lợi thế thương mại,VII Lợi thế thương mại,VII Lợi thế thương mại,269,,902.370.430,1.028.282.578,269.0,,902370430.0,1028282578.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,11.018.000.170.767,10.831.100.161.880,270.0,,11018000170767.0,10831100161880.0
