row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO),THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_1,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_2,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_3,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_4,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_5,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_6,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_2,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_3,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_4,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_5,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT TIẾP THEO (TIẾP THEO)_6
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,-,-,775.020.590,775.020.590,,,,,775020590.0,775020590.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,35.940.819.136,130.222.091.139,33.753.586.650,10.561.090.340,6.561.067.405.258,6.771.544.992.523,35940819136.0,130222091139.0,33753586650.0,10561090340.0,6561067405258.0,6771544992523.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,17.341.512.705,19.856.910.989,14.073.824.409,6.277.611.038,875.043.376.247,932.593.235.388,17341512705.0,19856910989.0,14073824409.0,6277611038.0,875043376247.0,932593235388.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,1.400.063.455,9.061.376.656,3.532.323.331,718.503.129,195.428.391.040,210.140.657.611,1400063455.0,9061376656.0,3532323331.0,718503129.0,195428391040.0,210140657611.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.400.063.455,9.061.376.656,3.532.323.331,718.503.129,195.428.391.040,210.140.657.611,1400063455.0,9061376656.0,3532323331.0,718503129.0,195428391040.0,210140657611.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,-,2.737.294.127,-,-,2.737.294.127,,,2737294127.0,,,2737294127.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,2.737.294.127,-,-,2.737.294.127,,,2737294127.0,,,2737294127.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,-,,,,,,
Số dư cuối năm,Giảm khác > Số dư cuối năm,Số dư cuối năm,18.741.576.160,28.918.287.645,14.868.853.613,6.996.114.167,1.070.471.767.287,1.139.996.598.872,18741576160.0,28918287645.0,14868853613.0,6996114167.0,1070471767287.0,1139996598872.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,18.599.306.431,110.034.264.150,25.577.199.570,4.283.479.302,2.748.844.301.160,2.907.338.550.613,18599306431.0,110034264150.0,25577199570.0,4283479302.0,2748844301160.0,2907338550613.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,17.199.242.976,101.303.803.494,18.884.733.037,3.564.976.173,5.490.595.637.971,5.631.548.393.651,17199242976.0,101303803494.0,18884733037.0,3564976173.0,5490595637971.0,5631548393651.0
