row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,31/12/2017 VND,01/01/2017 VND,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2017 VND,numeric__01/01/2017 VND
1.,1.,1.,Phải thu về cho vay dài hạn,215,11.b,752.538.483.608,225.647.099.300,,215.0,,752538483608.0,225647099300.0
2.,2.,2.,Phải thu dài hạn khác,216,12.b,500.072.729.334,22.739.205.273,,216.0,,500072729334.0,22739205273.0
II.,II.,II.,Tài sản cố định,220,,2.664.947.443.713,2.584.571.349.523,,220.0,,2664947443713.0,2584571349523.0
1.,1.,1.,Tài sản cố định hữu hình,221,16,2.582.615.490.815,2.499.786.466.891,,221.0,16.0,2582615490815.0,2499786466891.0
,,,- Nguyên giá,222,,3.486.817.112.645,2.947.624.020.324,,222.0,,3486817112645.0,2947624020324.0
,,,- Giá trị hao mòn lũy kế,223,,(904.201.621.830),(447.837.553.433),,223.0,,-904201621830.0,-447837553433.0
2.,2.,2.,Tài sản cố định vô hình,227,17,82.331.952.898,84.784.882.632,,227.0,17.0,82331952898.0,84784882632.0
,,,- Nguyên giá,228,,204.656.915.081,196.761.729.819,,228.0,,204656915081.0,196761729819.0
,,,- Giá trị hao mòn lũy kế,229,,(122.324.962.183),(111.976.847.187),,229.0,,-122324962183.0,-111976847187.0
III.,III.,III.,Bất động sản đầu tư,230,18,105.325.728.461,108.216.516.657,,230.0,18.0,105325728461.0,108216516657.0
,,,- Nguyên giá,231,,122.870.111.864,124.210.456.151,,231.0,,122870111864.0,124210456151.0
,,,- Giá trị hao mòn lũy kế,232,,(17.544.383.403),(15.993.939.494),,232.0,,-17544383403.0,-15993939494.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,660.713.035.677,603.458.413.186,,240.0,,660713035677.0,603458413186.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,,,,241.0,,,
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,19,660.713.035.677,603.458.413.186,,242.0,19.0,660713035677.0,603458413186.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,,29.039.631.433,56.466.429.083,,250.0,,29039631433.0,56466429083.0
1.,1.,1.,"Đầu tư vào công ty liên doanh, liên kết",252,8.b,26.819.631.433,26.615.469.977,,252.0,,26819631433.0,26615469977.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,8.c,2.700.000.000,32.225.730.632,,253.0,,2700000000.0,32225730632.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,8.c,(480.000.000),(2.374.771.526),,254.0,,-480000000.0,-2374771526.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,301.872.182.656,320.087.252.637,,260.0,,301872182656.0,320087252637.0
1.,1.,1.,Chi phí trả trước dài hạn,261,15.b,43.177.553.475,39.418.056.499,,261.0,,43177553475.0,39418056499.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,20,18.374.236.778,17.582.495.106,,262.0,20.0,18374236778.0,17582495106.0
3.,3.,3.,Lợi thế thương mại,269,21,240.320.392.403,263.086.701.032,,269.0,21.0,240320392403.0,263086701032.0
,,,TỔNG CỘNG TÀI SẢN,270,,8.312.491.432.050,7.005.648.101.019,,270.0,,8312491432050.0,7005648101019.0
