row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2017Triệu đồng,Ngày 31 tháng 12 năm 2016Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2017Triệu đồng,numeric__Ngày 31 tháng 12 năm 2016Triệu đồng
Dự phòng rủi ro cho vay khách hàng,IÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(3.147.404),(2.089.962),11.0,-3147404.0,-2089962.0
Chứng khoán đầu tư,IÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,12,53.558.049,55.339.988,12.0,53558049.0,55339988.0
Chứng khoán đầu tư sẵn sàng để bán,IÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,12.1,50.384.788,51.948.658,121.0,50384788.0,51948658.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,IÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,4.151.127,4.136.200,122.0,4151127.0,4136200.0
Dự phòng rủi ro chứng khoán đầu tư,IÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,12.3,(977.866),(744.870),123.0,-977866.0,-744870.0
"Góp vốn, đầu tư dài hạn","IÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",13,152.506,222.930,13.0,152506.0,222930.0
Đầu tư dài hạn khác,IÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,194.602,299.372,,194602.0,299372.0
Dự phòng giảm giá đầu tư dài hạn,IÀI SẢN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(42.096),(76.442),,-42096.0,-76442.0
Tài sản cố định,IÀI SẢN > Tài sản cố định,Tài sản cố định,14,808.486,624.197,14.0,808486.0,624197.0
Tài sản cố định hữu hình,IÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14.1,457.682,422.772,141.0,457682.0,422772.0
Nguyên giá tài sản cố định,IÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,1.090.758,939.411,,1090758.0,939411.0
Khẩu hao tài sản cố định,IÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(633.076),(516.639),,-633076.0,-516639.0
Tài sản cố định vô hình,IÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,14.2,350.804,201.425,142.0,350804.0,201425.0
Nguyên giá tài sản cố định,IÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,623.226,392.849,,623226.0,392849.0
Hao mòn tài sản cố định,IÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(272.422),(191.424),,-272422.0,-191424.0
Bất động sản đầu tư,IÀI SẢN > Bất động sản đầu tư,Bất động sản đầu tư,15,-,27.162,15.0,,27162.0
Nguyên giá bất động sản đầu tư,IÀI SẢN > Nguyên giá bất động sản đầu tư,Nguyên giá bất động sản đầu tư,,-,29.965,,,29965.0
Hao mòn bất động sản đầu tư,IÀI SẢN > Hao mòn bất động sản đầu tư,Hao mòn bất động sản đầu tư,,-,(2.803),,,-2803.0
Tài sản Có khác,IÀI SẢN > Tài sản Có khác,Tài sản Có khác,16,15.734.506,12.922.329,16.0,15734506.0,12922329.0
Các khoản phải thu,IÀI SẢN > Các khoản phải thu,Các khoản phải thu,16.1,8.539.528,5.588.814,161.0,8539528.0,5588814.0
"Các khoản lãi, phí phải thu","IÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",16.2,3.812.015,4.165.577,162.0,3812015.0,4165577.0
Tài sản Có khác,IÀI SẢN > Tài sản Có khác,Tài sản Có khác,16.3,3.404.366,3.395.320,163.0,3404366.0,3395320.0
Trong đó: Lợi thế thương mại,IÀI SẢN > Trong đó: Lợi thế thương mại,Trong đó: Lợi thế thương mại,17,-,12.485,17.0,,12485.0
Dự phòng rủi ro cho các tài sản Cónội bằng khác,IÀI SẢN > Dự phòng rủi ro cho các tài sản Cónội bằng khác,Dự phòng rủi ro cho các tài sản Cónội bằng khác,16.4,(21.403),(227.382),164.0,-21403.0,-227382.0
TỔNG TẢI SẢN,IÀI SẢN > TỔNG TẢI SẢN,TỔNG TẢI SẢN,,277.752.314,228.770.918,,277752314.0,228770918.0
