row_label_raw,row_label_full,Tên đơn vị,Ngày 31 tháng 12 năm 2016 > Tỷ lệ lợi ích (%),Ngày 31 tháng 12 năm 2016 > Tỷ lệ quyền biểu quyết (%),Ngày 1 tháng 9 năm 2016 > Tỷ lệ lợi ích (%),Ngày 1 tháng 9 năm 2016 > Tỷ lệ quyền biểu quyết (%),numeric__Ngày 31 tháng 12 năm 2016 > Tỷ lệ lợi ích (%),numeric__Ngày 31 tháng 12 năm 2016 > Tỷ lệ quyền biểu quyết (%),numeric__Ngày 1 tháng 9 năm 2016 > Tỷ lệ lợi ích (%),numeric__Ngày 1 tháng 9 năm 2016 > Tỷ lệ quyền biểu quyết (%)
Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,Các công ty con là công ty cổ phần > Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,"51,00%","51,00%","51,00%","51,00%",0.51,0.51,0.51,0.51
Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Các công ty con là công ty cổ phần > Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,"51,84%","51,84%","51,84%","51,84%",0.5184000000000001,0.5184000000000001,0.5184000000000001,0.5184000000000001
Công ty Cổ phần Long Bình,Các công ty con là công ty cổ phần > Công ty Cổ phần Long Bình,Công ty Cổ phần Long Bình,"61,89%","61,89%","61,89%","61,89%",0.6189,0.6189,0.6189,0.6189
Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Các công ty con là công ty cổ phần > Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,"85,00%","85,00%","85,00%","85,00%",0.85,0.85,0.85,0.85
Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,Các công ty con là công ty cổ phần > Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,"51,70%","51,70%","51,70%","51,70%",0.517,0.517,0.517,0.517
Công ty Cổ phần Vinafor Đà Nẵng,Các công ty con là công ty cổ phần > Công ty Cổ phần Vinafor Đà Nẵng,Công ty Cổ phần Vinafor Đà Nẵng,"51,01%","51,01%","51,01%","51,01%",0.5101,0.5101,0.5101,0.5101
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,Các công ty con là công ty cổ phần > Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,"73,04%","73,04%","73,04%","73,04%",0.7304,0.7304,0.7304,0.7304
Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,Các công ty con là công ty cổ phần > Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,"51,00%","51,00%","51,00%","51,00%",0.51,0.51,0.51,0.51
Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,Các công ty con là công ty cổ phần > Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,"67,69%","67,69%","67,69%","67,69%",0.6769,0.6769,0.6769,0.6769
Công ty Cổ phần Vinafor Vinh,Các công ty con là công ty cổ phần > Công ty Cổ phần Vinafor Vinh,Công ty Cổ phần Vinafor Vinh,"63,21%","63,21%","63,21%","63,21%",0.6321,0.6321,0.6321,0.6321
Công ty Cổ phần Vinafor Tây Nguyên,Các công ty con là công ty cổ phần > Công ty Cổ phần Vinafor Tây Nguyên,Công ty Cổ phần Vinafor Tây Nguyên,"68,59%","68,59%","68,59%","68,59%",0.6859000000000001,0.6859000000000001,0.6859000000000001,0.6859000000000001
