row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Năm 2015,Năm 2014,numeric__Mã số,numeric__Năm 2015,numeric__Năm 2014
Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),Điều chỉnh cho các khoản > Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),11,646.281.403.855,(453.196.073.745),11.0,646281403855.0,-453196073745.0
(Tăng)/Giảm chi phí trả trước,Điều chỉnh cho các khoản > (Tăng)/Giảm chi phí trả trước,(Tăng)/Giảm chi phí trả trước,12,225.042.145.829,168.734.949.432,12.0,225042145829.0,168734949432.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(2.153.933.993.800),(1.205.495.469.234),14.0,-2153933993800.0,-1205495469234.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(735.170.696),(858.008.046),15.0,-735170696.0,-858008046.0
Tiền thu khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,19.133.295.746,5.500.196.000,16.0,19133295746.0,5500196000.0
Tiền chi khác cho hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(15.210.462.745),(13.712.561.819),17.0,-15210462745.0,-13712561819.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.174.143.366.037,1.341.655.442.461,20.0,1174143366037.0,1341655442461.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"Tiền chi để mua sắm, xây dựng TSCĐ và TS dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi để mua sắm, xây dựng TSCĐ và TS dài hạn khác","Tiền chi để mua sắm, xây dựng TSCĐ và TS dài hạn khác",21,(1.021.726.925.906),(1.990.598.104.405),21.0,-1021726925906.0,-1990598104405.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác",22,15.050.000,34.885.454,22.0,15050000.0,34885454.0
Tiền chi đầu tư góp vốn vào đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(78.304.457.244),(37.065.600.000),25.0,-78304457244.0,-37065600000.0
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,287.729.958.325,-,26.0,287729958325.0,
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,47.339.743.520,33.923.812.987,27.0,47339743520.0,33923812987.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(764.946.631.305),(1.993.705.005.964),30.0,-764946631305.0,-1993705005964.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"Tiền thu từ phát hành CP, nhận vốn góp của chủ sở hữu","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ phát hành CP, nhận vốn góp của chủ sở hữu","Tiền thu từ phát hành CP, nhận vốn góp của chủ sở hữu",31,1.121.464.449.850,213.103.634,31.0,1121464449850.0,213103634.0
Tiền thu từ đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33,4.453.602.080.058,5.207.753.856.158,33.0,4453602080058.0,5207753856158.0
Tiền trả nợ gốc vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(5.985.669.664.334),(4.561.831.934.166),34.0,-5985669664334.0,-4561831934166.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(157.205.000),-,36.0,-157205000.0,
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(410.760.339.426),646.135.025.626,40.0,-410760339426.0,646135025626.0
LU'U CHUYÊN TIÊN THUẦN TRONG KỸ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > LU'U CHUYÊN TIÊN THUẦN TRONG KỸ,LU'U CHUYÊN TIÊN THUẦN TRONG KỸ,50,(1.563.604.694),(5.914.537.877),50.0,-1563604694.0,-5914537877.0
Tiền và tương đương tiền đầu kỳ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu kỳ,Tiền và tương đương tiền đầu kỳ,60,62.480.631.711,68.394.675.873,60.0,62480631711.0,68394675873.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,34.860.774,493.715,61.0,34860774.0,493715.0
Tiền và tương đương tiền cuối kỳ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối kỳ,Tiền và tương đương tiền cuối kỳ,70,60.951.887.791,62.480.631.711,70.0,60951887791.0,62480631711.0
