row_label_raw,row_label_full,col_0,Thuyết minh,Năm 2021triêu đồng,Năm 2020triêu đồng,numeric__Thuyết minh,numeric__Năm 2021triêu đồng,numeric__Năm 2020triêu đồng
Tăng các khoản cho vay khách hàng,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tăng các khoản cho vay khách hàng,Tăng các khoản cho vay khách hàng,,7.587.931,(9.857.848),,7587931.0,-9857848.0
"Giảm nguồn dự phòng để bù đắp tổn thất các khoản (tín dụng, chứng khoán, đầu tư dài hạn)","LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Giảm nguồn dự phòng để bù đắp tổn thất các khoản (tín dụng, chứng khoán, đầu tư dài hạn)","Giảm nguồn dự phòng để bù đắp tổn thất các khoản (tín dụng, chứng khoán, đầu tư dài hạn)",,(22.185.890),(15.744.609),,-22185890.0,-15744609.0
Giảm/(Tăng) khác về tài sản hoạt động,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Giảm/(Tăng) khác về tài sản hoạt động,Giảm/(Tăng) khác về tài sản hoạt động,,(1.954.817),(1.312.358),,-1954817.0,-1312358.0
Những thay đổi về công nợ hoạt động,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,4.582.250,(1.754.403),,4582250.0,-1754403.0
Tăng/(Giảm) các khoản nợ Chính phủ và NHNN,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tăng/(Giảm) các khoản nợ Chính phủ và NHNN,Tăng/(Giảm) các khoản nợ Chính phủ và NHNN,,21.145.752,17.842.146,,21145752.0,17842146.0
"Tăng các khoản tiền gửi, tiền vay các TCTD khác","LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tăng các khoản tiền gửi, tiền vay các TCTD khác","Tăng các khoản tiền gửi, tiền vay các TCTD khác",,996.520,(3.307),,996520.0,-3307.0
Tăng tiền gửi của khách hàng,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tăng tiền gửi của khách hàng,Tăng tiền gửi của khách hàng,,11.823.628,9.011.373,,11823628.0,9011373.0
Tăng phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tăng phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),Tăng phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),,7.044.225,6.672.153,,7044225.0,6672153.0
Tăng các công cụ tài chính phải sinh và các khoản nợ tài chính khác,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tăng các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tăng các công cụ tài chính phải sinh và các khoản nợ tài chính khác,,1.411.066,2.738.693,,1411066.0,2738693.0
Giảm khác về công nợ hoạt động,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Giảm khác về công nợ hoạt động,Giảm khác về công nợ hoạt động,,24.802,44.614,,24802.0,44614.0
Chi từ các quỹ của TCTD,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi từ các quỹ của TCTD,Chi từ các quỹ của TCTD,,(154.311),(620.665),,-154311.0,-620665.0
Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động kinh doanh,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động kinh doanh,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động kinh doanh,,(178),(715),,-178.0,-715.0
,,,,4.172.961,(6.234.067),,4172961.0,-6234067.0
