row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm (Trình bày lại) > Giá gốc,Số đầu năm (Trình bày lại) > Dự phòng,Số đầu năm (Trình bày lại) > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm (Trình bày lại) > Giá gốc,numeric__Số đầu năm (Trình bày lại) > Dự phòng,numeric__Số đầu năm (Trình bày lại) > Giá trị hợp lý
Công ty Cổ phần Lâm nghiệp Miên Đông,Công ty TNHH Sản xuất Nguyên liệu giấy Việt > Công ty Cổ phần Lâm nghiệp Miên Đông,Công ty Cổ phần Lâm nghiệp Miên Đông,4.891.656.170,-,4.891.656.170,4.891.656.170,-,4.891.656.170,4891656170.0,,4891656170.0,4891656170.0,,4891656170.0
Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn (*),Công ty TNHH Sản xuất Nguyên liệu giấy Việt > Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn (*),Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn (*),3.169.651.235,-,3.169.651.235,3.478.607.058,-,3.478.607.058,3169651235.0,,3169651235.0,3478607058.0,,3478607058.0
Công ty Cổ phần Xuất nhập khẩu Lâm nông sản,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản,,-,,,,,,,,,,
Sài Gòn,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản > Sài Gòn,Sài Gòn,3.063.845.562,,3.063.845.562,3.063.845.562,-,3.063.845.562,3063845562.0,,3063845562.0,3063845562.0,,3063845562.0
Công ty Cổ phần Gỗ lang Buôn Ma Thuột (*),Công ty Cổ phần Xuất nhập khẩu Lâm nông sản > Công ty Cổ phần Gỗ lang Buôn Ma Thuột (*),Công ty Cổ phần Gỗ lang Buôn Ma Thuột (*),2.570.995.921,-,2.570.995.921,2.698.842.250,-,2.698.842.250,2570995921.0,,2570995921.0,2698842250.0,,2698842250.0
Công ty Cổ phần 19/5 Đoàn Hùng (*),Công ty Cổ phần Xuất nhập khẩu Lâm nông sản > Công ty Cổ phần 19/5 Đoàn Hùng (*),Công ty Cổ phần 19/5 Đoàn Hùng (*),2.139.792.559,-,2.139.792.559,2.292.110.576,-,2.292.110.576,2139792559.0,,2139792559.0,2292110576.0,,2292110576.0
Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản > Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Kon Hà Nùng,1.945.917.957,-,1.945.917.957,1.945.917.957,-,1.945.917.957,1945917957.0,,1945917957.0,1945917957.0,,1945917957.0
Công ty Cổ phần Sản xuất & Xuất nhập khẩu,Công ty Cổ phần Sản xuất & Xuất nhập khẩu,Công ty Cổ phần Sản xuất & Xuất nhập khẩu,,-,,,,,,,,,,
Lâm sản Naforimex Hà Nội (*),Công ty Cổ phần Sản xuất & Xuất nhập khẩu > Lâm sản Naforimex Hà Nội (*),Lâm sản Naforimex Hà Nội (*),1.436.982.760,,1.436.982.760,1.643.080.698,-,1.643.080.698,1436982760.0,,1436982760.0,1643080698.0,,1643080698.0
Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu (*),Công ty Cổ phần Sản xuất & Xuất nhập khẩu > Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu (*),Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu (*),1.115.926.139,,1.115.926.139,1.197.837.276,-,1.197.837.276,1115926139.0,,1115926139.0,1197837276.0,,1197837276.0
Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,Công ty Cổ phần Sản xuất & Xuất nhập khẩu > Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,442.110.305,-,442.110.305,442.110.305,-,442.110.305,442110305.0,,442110305.0,442110305.0,,442110305.0
Công ty Cổ phần Formach,Công ty Cổ phần Sản xuất & Xuất nhập khẩu > Công ty Cổ phần Formach,Công ty Cổ phần Formach,4.155.164.541,(3.912.063.583),243.100.958,4.155.164.541,-,4.155.164.541,4155164541.0,-3912063583.0,243100958.0,4155164541.0,,4155164541.0
