row_label_raw,row_label_full,THÔNG TIN CÁC BÊN LIÊN QUAN (tiếp theo),THÔNG TIN CÁC BÊN LIÊN QUAN (tiếp theo)_1,THÔNG TIN CÁC BÊN LIÊN QUAN (tiếp theo)_2,numeric__THÔNG TIN CÁC BÊN LIÊN QUAN (tiếp theo)_1,numeric__THÔNG TIN CÁC BÊN LIÊN QUAN (tiếp theo)_2
Công ty CP ĐT & DV Đất Xanh Miền Nam,Nhận cổ tức 2015 > Công ty CP ĐT & DV Đất Xanh Miền Nam,Công ty CP ĐT & DV Đất Xanh Miền Nam,13.433.400.000,-,13433400000.0,
Góp vốn,Góp vốn,Góp vốn,Góp vốn,Góp vốn,,
Công ty TNHH XD-TM-DV Hà Thuận Hùng,Góp vốn > Công ty TNHH XD-TM-DV Hà Thuận Hùng,Công ty TNHH XD-TM-DV Hà Thuận Hùng,110.000.000.000,-,110000000000.0,
Công ty CP ĐT & DV Đất Xanh Miền Nam,Góp vốn > Công ty CP ĐT & DV Đất Xanh Miền Nam,Công ty CP ĐT & DV Đất Xanh Miền Nam,12.750.000.000,-,12750000000.0,
Công ty Cổ Phần Đất Xanh Miền Trung,Góp vốn > Công ty Cổ Phần Đất Xanh Miền Trung,Công ty Cổ Phần Đất Xanh Miền Trung,20.900.000.000,-,20900000000.0,
Công ty CP Xây dựng Địa Ốc Long Kim Phát,Góp vốn > Công ty CP Xây dựng Địa Ốc Long Kim Phát,Công ty CP Xây dựng Địa Ốc Long Kim Phát,46.000.000.000,-,46000000000.0,
Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Góp vốn > Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,Công ty CP Dịch vụ & Địa Ốc Đất Xanh Miền Bắc,15.300.000.000,-,15300000000.0,
Công ty TNHH Đầu Tư XD TM Xuân Định,Góp vốn > Công ty TNHH Đầu Tư XD TM Xuân Định,Công ty TNHH Đầu Tư XD TM Xuân Định,52.500.000.000,-,52500000000.0,
Công ty Cổ phần In Nông Nghiệp,Góp vốn > Công ty Cổ phần In Nông Nghiệp,Công ty Cổ phần In Nông Nghiệp,71.985.600.000,-,71985600000.0,
Công ty Cổ Phần Địa Ốc Tâm Thông,Góp vốn > Công ty Cổ Phần Địa Ốc Tâm Thông,Công ty Cổ Phần Địa Ốc Tâm Thông,152.000.000.000,-,152000000000.0,
