row_label_raw,row_label_full,col_0,Mã số,Tập đoàn > 2018Nghìn VND,Tập đoàn > 2017Nghìn VND,Công ty > 2018Nghìn VND,Công ty > 2017Nghìn VND,numeric__Mã số,numeric__Tập đoàn > 2018Nghìn VND,numeric__Tập đoàn > 2017Nghìn VND,numeric__Công ty > 2018Nghìn VND,numeric__Công ty > 2017Nghìn VND
Tiền lãi vay và chi phí đi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay và chi phí đi vay đã trả,Tiền lãi vay và chi phí đi vay đã trả,14,(1.048.441.244),(921.866.185),-,-,14.0,-1048441244.0,-921866185.0,,
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(36.533.036),(14.478.165),-,-,15.0,-36533036.0,-14478165.0,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,897.024.211,1.014.040.227,2.750.151,(2.426.539),20.0,897024211.0,1014040227.0,2750151.0,-2426539.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,
"Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",21,(1.076.471.346),(940.730.520),-,-,21.0,-1076471346.0,-940730520.0,,
Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,22,1.452.381,1.056.182,-,-,22.0,1452381.0,1056182.0,,
Gửi tiền gửi có kỳ hạn tại ngân hàng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Gửi tiền gửi có kỳ hạn tại ngân hàng,Gửi tiền gửi có kỳ hạn tại ngân hàng,23,(5.900.000),(32.500.000),-,-,23.0,-5900000.0,-32500000.0,,
Khoản đóng góp theo Hợp đồng hợp tác kinh doanh (“HĐHTKD”),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Khoản đóng góp theo Hợp đồng hợp tác kinh doanh (“HĐHTKD”),Khoản đóng góp theo Hợp đồng hợp tác kinh doanh (“HĐHTKD”),23,-,-,(2.500.000.000),-,23.0,,,-2500000000.0,
Tiền thu lãi tiền gửi có kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi tiền gửi có kỳ hạn,Tiền thu lãi tiền gửi có kỳ hạn,24,32.500.000,-,-,-,24.0,32500000.0,,,
Tiền chi mua lại phần vốn góp của cổ đông không kiểm soát,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua lại phần vốn góp của cổ đông không kiểm soát,Tiền chi mua lại phần vốn góp của cổ đông không kiểm soát,25,(695.653.481),-,-,-,25.0,-695653481.0,,,
Tiền thu lãi tiền gửi,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi tiền gửi,Tiền thu lãi tiền gửi,27,25.871.532,9.502.550,54.796,28.262.675,27.0,25871532.0,9502550.0,54796.0,28262675.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(1.718.200.914),(962.671.788),(2.499.945.204),28.262.675,30.0,-1718200914.0,-962671788.0,-2499945204.0,28262675.0
