row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,numeric__Môi quan hệ
Công ty Cổ phần Cen Bình Dương,Công ty Cổ phần Cen Bình Dương,Công ty Cổ phần Cen Bình Dương,Công ty con của Công ty TNHH Quản lý Đối tác liên kết CEN,
Công ty Cổ phần Cen Bắc Trung Bộ,Công ty Cổ phần Cen Bắc Trung Bộ,Công ty Cổ phần Cen Bắc Trung Bộ,Công ty con của Công ty TNHH Quản lý Đối tác liên kết CEN,
Công ty Cổ phần Cen Cần Thơ,Công ty Cổ phần Cen Cần Thơ,Công ty Cổ phần Cen Cần Thơ,Công ty con của Công ty TNHH Quản lý Đối tác liên kết CEN,
Công ty Cổ phần Ngôi sao UNIK,Công ty Cổ phần Ngôi sao UNIK,Công ty Cổ phần Ngôi sao UNIK,Công ty con của Công ty Cổ phần Truyền thông và Giải trí Ngôi sao mới,
Công ty Cổ phần Tập đoàn Thế Kỳ,Công ty Cổ phần Tập đoàn Thế Kỳ,Công ty Cổ phần Tập đoàn Thế Kỳ,Cổ đông lớn có cổ phần chi phối,
Công ty Cổ phần Tập đoàn đầu tư I.P.A,Công ty Cổ phần Tập đoàn đầu tư I.P.A,Công ty Cổ phần Tập đoàn đầu tư I.P.A,Công ty có cổ phần chi phối,
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,"- Ông Nguyễn Trung Vũ là Chủ tịch HĐQT của Cen Land, đồng thời là Chủ tịch HĐQT của Công ty này;- Ông Phạm Thanh Hưng là Phó Chủ tịch HĐQT của Cen Land, đồng thời là TV HĐQT của Công ty này.",
Công ty Cổ phần Dịch vụ Gia tăng Bất động sản Thế Kỳ,Công ty Cổ phần Dịch vụ Gia tăng Bất động sản Thế Kỳ,Công ty Cổ phần Dịch vụ Gia tăng Bất động sản Thế Kỳ,Cùng tập đoàn,
Công ty Cổ phần Dịch vụ Golf và Lữ hành Thế Kỳ,Công ty Cổ phần Dịch vụ Golf và Lữ hành Thế Kỳ,Công ty Cổ phần Dịch vụ Golf và Lữ hành Thế Kỳ,Công ty con của Công ty Cổ phần Tập đoàn Thế Kỳ (Cổ đông lớn của Cen Land),
Công ty Cổ phần Thẩm định giá Thế Kỳ,Công ty Cổ phần Thẩm định giá Thế Kỳ,Công ty Cổ phần Thẩm định giá Thế Kỳ,"Ông Phạm Thanh Hưng là Phó Chủ tịch HĐQT của Cen Land, đồng thời là Chủ tịch HĐQT của Công ty này",
Công ty Cổ phần CNV Sài Gòn,Công ty Cổ phần CNV Sài Gòn,Công ty Cổ phần CNV Sài Gòn,Tổ chức có liên quan của người nội bộ: Vũ Thị Xuân Giang (Phó Tổng Giám đốc Cen Land),
Công ty Cổ phần Thương mại và Đầu tư Xây dựng Tây Hồ,Công ty Cổ phần Thương mại và Đầu tư Xây dựng Tây Hồ,Công ty Cổ phần Thương mại và Đầu tư Xây dựng Tây Hồ,Tổ chức có liên quan của người nội bộ: Vũ Thị Xuân Giang (Phó Tổng Giám đốc Cen Land),
Công ty Cổ phần Hồng Lam Xuân Thành,Công ty Cổ phần Hồng Lam Xuân Thành,Công ty Cổ phần Hồng Lam Xuân Thành,"Từ ngày 29/05/2023, Ông Nguyễn Trung Vũ và Ông Vương, Văn Tường không còn là thành viên Hội đồng quản trị, do đ่ Công ty Cổ phần Hồng Lam Xuân Thành không còn là bên liệ quan.",
"Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ủy ban kiểm toán","Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ủy ban kiểm toán","Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ủy ban kiểm toán",,
