row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Vật nuôi VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Vật nuôi VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.206.469.797.570,9.836.701.860.494,532.872.440.295,56.353.664.813,190.247.486.974,2.172.437.045,12.824.817.687.191,2206469797570.0,9836701860494.0,532872440295.0,56353664813.0,190247486974.0,2172437045.0,12824817687191.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.212.905.477.908,3.213.196.770.096,163.342.521.443,30.823.360.250,89.565.503.355,1.056.588.479,4.710.890.221.531,1212905477908.0,3213196770096.0,163342521443.0,30823360250.0,89565503355.0,1056588479.0,4710890221531.0
Chuyển sang bắt động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bắt động sản đầu tư,Chuyển sang bắt động sản đầu tư,(2.021.220.404),-,-,-,-,-,(2.021.220.404),-2021220404.0,,,,,,-2021220404.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(15.514.625.189),(110.890.974.662),(10.303.833.034),(401.641.284),(87.472.137.977),(154.121.255),(224.737.333.401),-15514625189.0,-110890974662.0,-10303833034.0,-401641284.0,-87472137977.0,-154121255.0,-224737333401.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,71.040.914.409,(72.324.325.030),-,1.283.410.621,-,-,-,71040914409.0,-72324325030.0,,1283410621.0,,,
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(168.134.482),-,-,-,-,-,(168.134.482),-168134482.0,,,,,,-168134482.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.472.712.209.812,12.866.683.330.898,685.911.128.704,88.058.794.400,192.340.852.352,3.074.904.269,17.308.781.220.435,3472712209812.0,12866683330898.0,685911128704.0,88058794400.0,192340852352.0,3074904269.0,17308781220435.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,10.906.997.656.356,19.375.338.087.447,488.914.134.040,42.083.869.355,162.818.772.624,3.969.914.882,30.980.122.434.704,10906997656356.0,19375338087447.0,488914134040.0,42083869355.0,162818772624.0,3969914882.0,30980122434704.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,27.575.687.109.404,36.378.358.996.931,1.209.048.505.059,65.385.043.040,73.929.730.111,5.410.492.998,65.307.819.877.543,27575687109404.0,36378358996931.0,1209048505059.0,65385043040.0,73929730111.0,5410492998.0,65307819877543.0
