row_label_raw,row_label_full,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo),N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_1,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_2,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_3,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_4,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_5,Mẫu số B 09 - DN/HN,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_1,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_2,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_3,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_4,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo) > : thuyết minh này là một bộ phân hợp thành và cản được đọc đồng thời với bảo cáo tài chính hợp nhất kèm theo)_5,numeric__Mẫu số B 09 - DN/HN
Tổng nợ phải trả hợp nhất,Băng cân đối kế toán tại ngày 01/01/2017 > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,1.914.489.531.696,57.747.959.185,276.100.837.978,-,(249.554.475.549),2.267.972.420.308,1914489531696.0,57747959185.0,276100837978.0,,-249554475549.0,2267972420308.0
Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017,,,,,,
,,,Hoạt động kinh doanh bắt động sản VND,Hoạt động cung cấp dịch vụ VND,Hoạt động xây lắp VND,Hoạt động bán hàng hóa VND,Loại trừ VND,Tổng cộng VND,,,,,,
Doanh thu thuần,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017 > Doanh thu thuần,Doanh thu thuần,1.324.688.021.068,558.475.798.441,556.987.892.428,56.822.472.094,(664.175.488.352),1.832.798.695.679,1324688021068.0,558475798441.0,556987892428.0,56822472094.0,-664175488352.0,1832798695679.0
Doanh thu hoạt động tài chính,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017 > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,92.701.974.211,39.082.265.591,38.978.141.584,3.976.449.744,(142.538.485.736),32.200.345.395,92701974211.0,39082265591.0,38978141584.0,3976449744.0,-142538485736.0,32200345395.0
Chi phí sản xuất kinh doanh,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017 > Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,802.345.233.704,326.749.892.621,500.005.664.625,55.216.970.509,(575.605.110.964),1.467.013.129.873,802345233704.0,326749892621.0,500005664625.0,55216970509.0,-575605110964.0,1467013129873.0
- Giá vốn hàng bán,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017 > - Giá vốn hàng bán,- Giá vốn hàng bán,802.345.233.704,326.749.892.621,500.005.664.625,55.216.970.509,(575.605.110.964),1.108.712.650.495,802345233704.0,326749892621.0,500005664625.0,55216970509.0,-575605110964.0,1108712650495.0
- Chi phí tài chính,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017 > - Chi phí tài chính,- Chi phí tài chính,,,,,,124.371.032.813,,,,,,124371032813.0
- Chi phí bán hàng,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017 > - Chi phí bán hàng,- Chi phí bán hàng,,,,,,36.896.437.667,,,,,,36896437667.0
- Chi phí quản lý doanh nghiệp,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017 > - Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,,,,,,197.033.008.898,,,,,,197033008898.0
Kết quả kinh doanh theo bộ phận,Báo cáo kết quả hoạt động kinh doanh cho năm tài chính kết thúc ngày 31/12/2017 > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,615.044.761.575,270.808.171.411,95.960.369.387,5.581.951.329,(231.108.863.124),397.985.911.201,615044761575.0,270808171411.0,95960369387.0,5581951329.0,-231108863124.0,397985911201.0
