row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2024,MÃU SỐ B03 - DNĐơn vị tính: VNDNăm 2023,numeric__Mã số,numeric__Năm 2024,numeric__MÃU SỐ B03 - DNĐơn vị tính: VNDNăm 2023
"3. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","3. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,189.000.000.000,717.500.000.000,24.0,189000000000.0,717500000000.0
"4. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","4. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,219.310.860.424,322.542.778.737,27.0,219310860424.0,322542778737.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,89.665.424.173,179.769.178.737,30.0,89665424173.0,179769178737.0
III. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
1. Tiền thu từ đi vay,III. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ đi vay,1. Tiền thu từ đi vay,33,442.245.000.000,240.000.000.000,33.0,442245000000.0,240000000000.0
2. Tiền trả nợ gốc vay,III. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền trả nợ gốc vay,2. Tiền trả nợ gốc vay,34,(414.230.293.496),(244.524.760.732),34.0,-414230293496.0,-244524760732.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,28.014.706.504,(4.524.760.732),40.0,28014706504.0,-4524760732.0
Lưu chuyển tiền thuần trong năm,III. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,56.840.297.278,(145.562.916.632),50.0,56840297278.0,-145562916632.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,50.140.229.335,195.703.145.967,60.0,50140229335.0,195703145967.0
Tiền và tương đương tiền cuối năm,III. LƯU CHUYỀN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,106.980.526.613,50.140.229.335,70.0,106980526613.0,50140229335.0
