row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > 3.2. Cho vay các tổ chức tin dụng khác,Năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > 3.2. Cho vay các tổ chức tin dụng khác_1,Đơn vị tính: Triệu đồng Việt Nam > 31/12/2016,Đơn vị tính: Triệu đồng Việt Nam > 01/01/2016,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > 3.2. Cho vay các tổ chức tin dụng khác_1,numeric__Đơn vị tính: Triệu đồng Việt Nam > 31/12/2016,numeric__Đơn vị tính: Triệu đồng Việt Nam > 01/01/2016
Ngân hàng TMCP Tiền Phong,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau: > Ngân hàng TMCP Tiền Phong,Ngân hàng TMCP Tiền Phong,Ngân hàng TMCP Tiền Phong,500.000,10/02/2017,,500000.0,
Ngân hàng TMCP Tiền Phong,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau: > Ngân hàng TMCP Tiền Phong,Ngân hàng TMCP Tiền Phong,Ngân hàng TMCP Tiền Phong,150.000,13/02/2017,,150000.0,
Công ty tài chính CP Điện lực,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau: > Công ty tài chính CP Điện lực,Công ty tài chính CP Điện lực,Công ty tài chính CP Điện lực,210.000,21/06/2017,,210000.0,
Công ty tài chính CP Điện lực,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau: > Công ty tài chính CP Điện lực,Công ty tài chính CP Điện lực,Công ty tài chính CP Điện lực,220.000,15/09/2017,,220000.0,
Ngân hàng TMCP Việt Á,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau: > Ngân hàng TMCP Việt Á,Ngân hàng TMCP Việt Á,Ngân hàng TMCP Việt Á,299.169,17/04/2017,,299169.0,
Ngân hàng TMCP Việt Á,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau: > Ngân hàng TMCP Việt Á,Ngân hàng TMCP Việt Á,Ngân hàng TMCP Việt Á,269.962,18/04/2017,,269962.0,
Cộng,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau: > Cộng,Cộng,Cộng,2.184.131,,,2184131.0,
"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác",31/12/2016,01/01/2016,,,
- Nợ đủ tiêu chuẩn,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > - Nợ đủ tiêu chuẩn",- Nợ đủ tiêu chuẩn,- Nợ đủ tiêu chuẩn,11.518.231,6.421.902,,11518231.0,6421902.0
Cộng,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > Cộng",Cộng,Cộng,11.518.231,6.421.902,,11518231.0,6421902.0
4. Cho vay khách hàng,4. Cho vay khách hàng,4. Cho vay khách hàng,4. Cho vay khách hàng,,,,,
,,,,31/12/2016,01/01/2016,,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","4. Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",25.098.067,20.274.307,,25098067.0,20274307.0
Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,4. Cho vay khách hàng > Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,26.180,9.283,,26180.0,9283.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","4. Cho vay khách hàng > Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",227.970,147.851,,227970.0,147851.0
Tổng cộng,4. Cho vay khách hàng > Tổng cộng,Tổng cộng,Tổng cộng,25.352.217,20.431.441,,25352217.0,20431441.0
4.1. Phân tích chất lượng nợ cho vay,4.1. Phân tích chất lượng nợ cho vay,4.1. Phân tích chất lượng nợ cho vay,4.1. Phân tích chất lượng nợ cho vay,,,,,
,,,,31/12/2016,01/01/2016,,,
Nợ đủ tiêu chuẩn,4.1. Phân tích chất lượng nợ cho vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,23.493.409,19.422.339,,23493409.0,19422339.0
Nợ cần chú ý,4.1. Phân tích chất lượng nợ cho vay > Nợ cần chú ý,Nợ cần chú ý,Nợ cần chú ý,1.482.433,569.885,,1482433.0,569885.0
Nợ dưới tiêu chuẩn,4.1. Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,150.144,156.676,,150144.0,156676.0
Nợ nghi ngờ,4.1. Phân tích chất lượng nợ cho vay > Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,22.298,29.278,,22298.0,29278.0
Nợ có khả năng mất vốn,4.1. Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,203.933,253.263,,203933.0,253263.0
Tổng cộng,4.1. Phân tích chất lượng nợ cho vay > Tổng cộng,Tổng cộng,Tổng cộng,25.352.217,20.431.441,,25352217.0,20431441.0
4.2. Phân tích dư nợ theo thời gian,4.2. Phân tích dư nợ theo thời gian,4.2. Phân tích dư nợ theo thời gian,4.2. Phân tích dư nợ theo thời gian,,,,,
,,,,31/12/2016,01/01/2016,,,
Nợ ngắn hạn,4.2. Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,8.079.759,7.494.877,,8079759.0,7494877.0
Nợ trung hạn,4.2. Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,Nợ trung hạn,8.855.917,6.984.459,,8855917.0,6984459.0
Nợ dài hạn,4.2. Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,8.416.541,5.952.105,,8416541.0,5952105.0
Tổng cộng,4.2. Phân tích dư nợ theo thời gian > Tổng cộng,Tổng cộng,Tổng cộng,25.352.217,20.431.441,,25352217.0,20431441.0
