row_label_raw,row_label_full,col_0,Quá hạn triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng công triệu đồng,numeric__Quá hạn triệu đồng,numeric__Không ảnh hưởng thay đổi lãi suất triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng công triệu đồng
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,8.163.753,82.403.064,205.775.583,251.260.340,23.723.881,64.312.894,73.936.264,31.724.755,741.300.534,8163753.0,82403064.0,205775583.0,251260340.0,23723881.0,64312894.0,73936264.0,31724755.0,741300534.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,31.788,-,-,-,-,-,31.788,,,31788.0,,,,,,31788.0
Tiền gửi và vay từ TCTD khác,Nợ phải trả > Tiền gửi và vay từ TCTD khác,Tiền gửi và vay từ TCTD khác,-,-,32.622.437,18.349.484,6.408.254,878.104,6.858.500,-,65.116.779,,,32622437.0,18349484.0,6408254.0,878104.0,6858500.0,,65116779.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,246.223.735,41.476.426,66.553.846,70.046.860,19.286.019,18.752,443.605.638,,,246223735.0,41476426.0,66553846.0,70046860.0,19286019.0,18752.0,443605638.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",-,-,910.840,45.542,144.544,901.796,-,-,2.002.722,,,910840.0,45542.0,144544.0,901796.0,,,2002722.0
Phát hành giấy tờ có giả,Nợ phải trả > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,6.867.836,17.896.597,16.474.321,17.728.856,30.694.269,6.916.246,96.578.125,,,6867836.0,17896597.0,16474321.0,17728856.0,30694269.0,6916246.0,96578125.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,41.584.075,-,-,-,-,-,-,41.584.075,,41584075.0,,,,,,,41584075.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,41.584.075,286.656.636,77.768.049,89.580.965,89.555.616,56.838.788,6.934.998,648.919.127,,41584075.0,286656636.0,77768049.0,89580965.0,89555616.0,56838788.0,6934998.0,648919127.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,8.163.753,40.818.989,(80.881.053),173.492.291,(65.857.084),(25.242.722),17.097.476,24.789.757,92.381.407,8163753.0,40818989.0,-80881053.0,173492291.0,-65857084.0,-25242722.0,17097476.0,24789757.0,92381407.0
