row_label_raw,row_label_full,col_0,Trên 3thángtriệu đồng,Đến 3thángtriệu đồng,Đến 1 thángtriệu đồng,Từ 1 đến3 thángtriệu đồng,Từ 3 đến12 thángtriệu đồng,Từ 1 đến5 nămtriệu đồng,Trên 5 nămtriệu đồng,Tổng cộngtriệu đồng,numeric__Trên 3thángtriệu đồng,numeric__Đến 3thángtriệu đồng,numeric__Đến 1 thángtriệu đồng,numeric__Từ 1 đến3 thángtriệu đồng,numeric__Từ 3 đến12 thángtriệu đồng,numeric__Từ 1 đến5 nămtriệu đồng,numeric__Trên 5 nămtriệu đồng,numeric__Tổng cộngtriệu đồng
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),210.131,-,25.632.441,372.089,2.924.561,249.251,4.547,29.393.020,210131.0,,25632441.0,372089.0,2924561.0,249251.0,4547.0,29393020.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,15.037.035,5.929.554,190.502.918,130.636.521,260.824.690,169.608.539,184.763.166,957.302.423,15037035.0,5929554.0,190502918.0,130636521.0,260824690.0,169608539.0,184763166.0,957302423.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ NHNN,Nợ phải trả > Các khoản nợ NHNN,Các khoản nợ NHNN,-,-,8.738,-,-,-,-,8.738,,,8738.0,,,,,8738.0
Tiền gửi của và vay từ các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác,-,-,76.504.545,7.587.972,8.685.449,7.032.500,-,99.810.466,,,76504545.0,7587972.0,8685449.0,7032500.0,,99810466.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,317.812.836,72.046.276,162.191.203,15.462.936,19.326,567.532.577,,,317812836.0,72046276.0,162191203.0,15462936.0,19326.0,567532577.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,1.006.172,1.171.005,538.169,74.799,9.718,2.799.863,,,1006172.0,1171005.0,538169.0,74799.0,9718.0,2799863.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,3.700.736,29.733.705,64.916.811,22.953.723,5.158.135,126.463.110,,,3700736.0,29733705.0,64916811.0,22953723.0,5158135.0,126463110.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,-,51.289.391,56.127,223.464,57.751,-,51.626.733,,,51289391.0,56127.0,223464.0,57751.0,,51626733.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,450.322.418,110.595.085,236.555.096,45.581.709,5.187.179,848.241.487,,,450322418.0,110595085.0,236555096.0,45581709.0,5187179.0,848241487.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,15.037.035,5.929.554,(259.819.500),20.041.436,24.269.594,124.026.830,179.575.987,109.060.936,15037035.0,5929554.0,-259819500.0,20041436.0,24269594.0,124026830.0,179575987.0,109060936.0
