row_label_raw,row_label_full,col_0,Quá han triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng công triệu đồng,numeric__Quá han triệu đồng,numeric__Không ảnh hưởng thay đổi lãi suất triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng công triệu đồng
Tải sản Có khác (*),Tài sản > Tải sản Có khác (*),Tải sản Có khác (*),210.131,29.182.889,-,-,-,-,-,-,29.393.020,210131.0,29182889.0,,,,,,,29393020.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,20.966.589,105.210.222,278.631.332,240.716.123,118.256.955,80.144.741,64.454.948,48.921.513,957.302.423,20966589.0,105210222.0,278631332.0,240716123.0,118256955.0,80144741.0,64454948.0,48921513.0,957302423.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,8.738,-,-,-,-,-,8.738,,,8738.0,,,,,,8738.0
Tiền gửi và vay từ TCTD khác,Nợ phải trả > Tiền gửi và vay từ TCTD khác,Tiền gửi và vay từ TCTD khác,-,-,76.504.545,7.587.972,8.410.806,274.643,7.032.500,-,99.810.466,,,76504545.0,7587972.0,8410806.0,274643.0,7032500.0,,99810466.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,317.812.836,72.046.276,96.881.703,65.309.500,15.462.936,19.326,567.532.577,,,317812836.0,72046276.0,96881703.0,65309500.0,15462936.0,19326.0,567532577.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu núi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu núi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu núi ro",-,-,1.006.172,1.171.005,525.376,12.793,74.799,9.718,2.799.863,,,1006172.0,1171005.0,525376.0,12793.0,74799.0,9718.0,2799863.0
Phát hành giây tờ có giá,Nợ phải trả > Phát hành giây tờ có giá,Phát hành giây tờ có giá,-,-,3.700.736,29.733.705,37.224.649,27.692.162,22.953.723,5.158.135,126.463.110,,,3700736.0,29733705.0,37224649.0,27692162.0,22953723.0,5158135.0,126463110.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,51.626.733,-,-,-,-,-,-,51.626.733,,51626733.0,,,,,,,51626733.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,51.626.733,399.033.027,110.538.958,143.042.534,93.289.098,45.523.958,5.187.179,848.241.487,,51626733.0,399033027.0,110538958.0,143042534.0,93289098.0,45523958.0,5187179.0,848241487.0
Mức chênh nhạy cảm với lãi suất nội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng,Mức chênh nhạy cảm với lãi suất nội bằng,20.966.589,53.583.489,(120.401.695),130.177.165,(24.785.579),(13.144.357),18.930.990,43.734.334,109.060.936,20966589.0,53583489.0,-120401695.0,130177165.0,-24785579.0,-13144357.0,18930990.0,43734334.0,109060936.0
