row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_1","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_2","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_3","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_4","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_5","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_6","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_1","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_2","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_3","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_4","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_5","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_6"
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,14.411.151.786.067,3.930.307.784.721,-,18.368.768.000,9.037.368.000,18.368.865.706.788,14411151786067.0,3930307784721.0,,18368768000.0,9037368000.0,18368865706788.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,67.690.799.738.292,1.488.091.114.109,-,11.897.524.091,29.029.134.251,69.219.817.510.743,67690799738292.0,1488091114109.0,,11897524091.0,29029134251.0,69219817510743.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",352.665.805.634,4.275.787.500.000,-,-,-,4.628.453.305.634,352665805634.0,4275787500000.0,,,,4628453305634.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,11.764.565.982.207,-,-,-,-,11.764.565.982.207,11764565982207.0,,,,,11764565982207.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,2.477.158.827.657,93.441.360.374,5.635.322,3.425.186.336,2.024.795.291,2.576.055.804.980,2477158827657.0,93441360374.0,5635322.0,3425186336.0,2024795291.0,2576055804980.0
Vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Vốn chủ sở hữu,Vốn chủ sở hữu,11.506.652.922.253,-,-,-,-,11.506.652.922.253,11506652922253.0,,,,,11506652922253.0
Tổng nợ phải trả và vốn chủ sở hữu (2),Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu (2),Tổng nợ phải trả và vốn chủ sở hữu (2),108.373.251.384.370,9.787.627.759.204,5.635.322,33.691.478.427,40.091.297.542,118.234.667.554.865,108373251384370.0,9787627759204.0,5635322.0,33691478427.0,40091297542.0,118234667554865.0
Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],2.141.127.634.527,(1.349.397.023.245),2.368.654.678,2.115.830.025,13.435.975.995,809.651.071.980,2141127634527.0,-1349397023245.0,2368654678.0,2115830025.0,13435975995.0,809651071980.0
Trạng thái tiền tệ ngoại bảng (4),Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng (4),Trạng thái tiền tệ ngoại bảng (4),(393.889.050.000),397.219.430.475,-,-,(3.260.800.000),69.580.475,-393889050000.0,397219430475.0,,,-3260800000.0,69580475.0
"Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]",1.747.238.584.527,(952.177.592.770),2.368.654.678,2.115.830.025,10.175.175.995,809.720.652.455,1747238584527.0,-952177592770.0,2368654678.0,2115830025.0,10175175995.0,809720652455.0
