row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,VND VND,USD VND,Vàng VND,EUR VND,Tiền tệ khác VND,Tổng VND,numeric__VND VND,numeric__USD VND,numeric__Vàng VND,numeric__EUR VND,numeric__Tiền tệ khác VND,numeric__Tổng VND
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,1.469.369.844.175,-,-,-,-,1.469.369.844.175,1469369844175.0,,,,,1469369844175.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,11.636.012.077.277,5.094.085.444.157,-,7.392.067.043,18.490.387.665,16.755.979.976.142,11636012077277.0,5094085444157.0,,7392067043.0,18490387665.0,16755979976142.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,58.726.038.920.336,1.711.711.107.886,-,9.754.143.460,233.942.900,60.447.738.114.582,58726038920336.0,1711711107886.0,,9754143460.0,233942900.0,60447738114582.0
"Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",310.262.683.211,2.243.824.000.000,-,-,-,2.554.086.683.211,310262683211.0,2243824000000.0,,,,2554086683211.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,8.156.400.898.720,-,-,-,-,8.156.400.898.720,8156400898720.0,,,,,8156400898720.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,1.783.746.308.778,57.898.249.723,4.827.438,2.321.240.036,23.416.787.452,1.867.387.413.427,1783746308778.0,57898249723.0,4827438.0,2321240036.0,23416787452.0,1867387413427.0
Vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Vốn chủ sở hữu,Vốn chủ sở hữu,8.795.608.603.625,-,-,-,-,8.795.608.603.625,8795608603625.0,,,,,8795608603625.0
Tổng nợ phải trả và vốn chủ sở hữu (2),Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu (2),Tổng nợ phải trả và vốn chủ sở hữu (2),90.877.439.336.122,9.107.518.801.766,4.827.438,19.467.450.539,42.141.118.017,100.046.571.533.882,90877439336122.0,9107518801766.0,4827438.0,19467450539.0,42141118017.0,100046571533882.0
Trạng thái tiền tệ nội bằng [(3)=(1)-(2)],Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bằng [(3)=(1)-(2)],Trạng thái tiền tệ nội bằng [(3)=(1)-(2)],1.062.464.008.778,(433.408.301.736),1.597.150.062,(3.018.458.888),8.425.231.600,636.059.629.816,1062464008778.0,-433408301736.0,1597150062.0,-3018458888.0,8425231600.0,636059629816.0
Trạng thái tiền tệ ngoại bảng (4),Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng (4),Trạng thái tiền tệ ngoại bảng (4),(394.919.960.000),392.367.164.136,-,-,1.701.500.000,(851.295.864),-394919960000.0,392367164136.0,,,1701500000.0,-851295864.0
"Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]",667.544.048.778,(41.041.137.600),1.597.150.062,(3.018.458.888),10.126.731.600,635.208.333.952,667544048778.0,-41041137600.0,1597150062.0,-3018458888.0,10126731600.0,635208333952.0
