row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,"Thiết bị,dụng cụ quản lý",Tài sản khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,"numeric__Thiết bị,dụng cụ quản lý",numeric__Tài sản khác,numeric__Tổng
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.298.190.502.155,4.395.706.657.909,236.768.318.100,24.680.050.591,7.995.787.636,6.963.341.316.391,2298190502155.0,4395706657909.0,236768318100.0,24680050591.0,7995787636.0,6963341316391.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,212.772.209.317,389.555.341.707,18.606.339.302,3.859.720.796,885.029.362,625.678.640.484,212772209317.0,389555341707.0,18606339302.0,3859720796.0,885029362.0,625678640484.0
Tăng từ tài sản cố định thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng từ tài sản cố định thuê tài chính,Tăng từ tài sản cố định thuê tài chính,-,33.486.604.954,6.751.042.382,-,-,40.237.647.336,,33486604954.0,6751042382.0,,,40237647336.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(43.477.601),76.471.159,(217.526.880),184.533.322,-,-,-43477601.0,76471159.0,-217526880.0,184533322.0,,
"Phân loại lại sang công cụ, dụng cụ","GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại sang công cụ, dụng cụ","Phân loại lại sang công cụ, dụng cụ",-,-,-,(321.168.340),(25.630.228),(346.798.568),,,,-321168340.0,-25630228.0,-346798568.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(768.483.096),(1.227.308.864),-,-,(1.995.791.960),,-768483096.0,-1227308864.0,,,-1995791960.0
Chênh lệch chuyển đổi báo cáo tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Chênh lệch chuyển đổi báo cáo tài chính,Chênh lệch chuyển đổi báo cáo tài chính,-,1.325.691.149,560.534.355,-,1.515.770,1.887.741.274,,1325691149.0,560534355.0,,1515770.0,1887741274.0
(Giảm) khác,GIÁ TRỊ HAO MÒN LỦY KẾ > (Giảm) khác,(Giảm) khác,(50.783.751),-,(237.414.101),-,-,(288.197.852),-50783751.0,,-237414101.0,,,-288197852.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.510.868.450.120,4.819.382.283.782,261.003.984.294,28.403.136.369,8.856.702.540,7.628.514.557.105,2510868450120.0,4819382283782.0,261003984294.0,28403136369.0,8856702540.0,7628514557105.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.256.978.545.115,2.663.247.203.815,51.024.529.366,3.325.132.769,2.463.075.141,4.977.038.486.206,2256978545115.0,2663247203815.0,51024529366.0,3325132769.0,2463075141.0,4977038486206.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,3.146.650.528.713,2.368.855.189.058,69.551.055.575,54.422.663.942,4.076.296.991,5.643.555.734.279,3146650528713.0,2368855189058.0,69551055575.0,54422663942.0,4076296991.0,5643555734279.0
