row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản khác,numeric__Tổng
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,4.533.113.553.769,6.612.345.397.558,449.680.036.310,65.560.333.120,8.639.889.578,11.669.339.210.335,4533113553769.0,6612345397558.0,449680036310.0,65560333120.0,8639889578.0,11669339210335.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,573.323.153.228,618.198.095.301,56.724.371.460,8.119.048.705,1.017.923.312,1.257.382.592.006,573323153228.0,618198095301.0,56724371460.0,8119048705.0,1017923312.0,1257382592006.0
Tăng từ tài sản cố định thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng từ tài sản cố định thuê tài chính,Tăng từ tài sản cố định thuê tài chính,-,86.078.663.978,4.147.273.648,181.592.419,-,90.407.530.045,,86078663978.0,4147273648.0,181592419.0,,90407530045.0
Chuyển từ bất động sản đầu tư,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,46.084.618.701,2.787.140.416,-,13.067.015.617,-,61.938.774.734,46084618701.0,2787140416.0,,13067015617.0,,61938774734.0
Tăng do hợp nhất kinh doanh,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,290.036.939.768,1.169.714.517.321,5.408.696.572,1.492.005.297,-,1.466.652.158.958,290036939768.0,1169714517321.0,5408696572.0,1492005297.0,,1466652158958.0
Giảm do thoái vốn công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(369.370.649.851),(430.268.337.464),(4.182.102.114),(505.900.251),-,(804.326.989.680),-369370649851.0,-430268337464.0,-4182102114.0,-505900251.0,,-804326989680.0
Phân loại lại sang bất động sản đầu tư,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại sang bất động sản đầu tư,Phân loại lại sang bất động sản đầu tư,(970.767.348),(407.687.195),-,(1.882.359.993),-,(3.260.814.536),-970767348.0,-407687195.0,,-1882359993.0,,-3260814536.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(72.850.207.331),(137.844.098.330),(14.876.977.930),(6.648.958.851),-,(232.220.242.442),-72850207331.0,-137844098330.0,-14876977930.0,-6648958851.0,,-232220242442.0
"Tăng, giảm khác","GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng, giảm khác","Tăng, giảm khác",382.308.364,181.527.153,871.591.561,(880.362.371),-,555.064.707,382308364.0,181527153.0,871591561.0,-880362371.0,,555064707.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,4.999.748.949.300,7.920.785.218.738,497.772.889.507,78.502.413.692,9.657.812.890,13.506.467.284.127,4999748949300.0,7920785218738.0,497772889507.0,78502413692.0,9657812890.0,13506467284127.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÔN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,8.723.798.512.382,3.924.797.349.923,254.952.492.687,69.315.242.378,4.293.109.954,12.977.156.707.324,8723798512382.0,3924797349923.0,254952492687.0,69315242378.0,4293109954.0,12977156707324.0
Tại ngày cuối năm,GIÁ TRỊ CÔN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,8.308.748.843.652,3.422.555.504.158,296.517.919.934,69.461.066.851,3.275.186.642,12.100.558.521.237,8308748843652.0,3422555504158.0,296517919934.0,69461066851.0,3275186642.0,12100558521237.0
