row_label_raw,row_label_full,TÀI SẢN NGĂN HẠN,Mã số,Thuyết minh,31/12/2017,01/01/2017,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2017,numeric__01/01/2017
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,1.055.479.022,30.975.440.633,241.0,,1055479022.0,30975440633.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,,80.758.014.290,85.928.314.919,242.0,,80758014290.0,85928314919.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,5.2,2.303.444.577.790,2.181.885.083.795,250.0,52.0,2303444577790.0,2181885083795.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,,1.883.306.772.926,1.883.306.772.926,251.0,,1883306772926.0,1883306772926.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,,1.096.124.960.279,985.091.726.279,253.0,,1096124960279.0,985091726279.0
Dự phòng giảm giá đầu tư chứng khoán dài hạn (*),Dự phòng giảm giá đầu tư chứng khoán dài hạn (*),Dự phòng giảm giá đầu tư chứng khoán dài hạn (*),254,,(675.987.155.415),(686.513.415.410),254.0,,-675987155415.0,-686513415410.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,663.921.405.855,805.784.739.499,260.0,,663921405855.0,805784739499.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,5.11,515.468.728.162,647.891.360.614,261.0,511.0,515468728162.0,647891360614.0
"Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,148.452.677.693,157.893.378.885,263.0,,148452677693.0,157893378885.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,268,,-,-,268.0,,,
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,,-,-,269.0,,,
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,20.808.690.069.018,22.536.907.776.149,270.0,,20808690069018.0,22536907776149.0
