row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2017,Từ 15/01/2016đến 31/12/2016,numeric__Mã số,numeric__Năm 2017,numeric__Từ 15/01/2016đến 31/12/2016
(Tăng)/Giảm các khoản phải thu,Điều chỉnh cho các khoản > (Tăng)/Giảm các khoản phải thu,(Tăng)/Giảm các khoản phải thu,09,(546.050.914.150),146.485.337.343,9.0,-546050914150.0,146485337343.0
(Tăng)/Giảm hàng tồn kho,Điều chỉnh cho các khoản > (Tăng)/Giảm hàng tồn kho,(Tăng)/Giảm hàng tồn kho,10,10.259.340.930,48.183.894.145,10.0,10259340930.0,48183894145.0
Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),Điều chỉnh cho các khoản > Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),11,82.817.679.790,(117.824.298.330),11.0,82817679790.0,-117824298330.0
(Tăng)/Giảm chi phí trả trước,Điều chỉnh cho các khoản > (Tăng)/Giảm chi phí trả trước,(Tăng)/Giảm chi phí trả trước,12,132.740.550.858,(29.275.914.650),12.0,132740550858.0,-29275914650.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(368.320.425.531),(382.298.882.414),14.0,-368320425531.0,-382298882414.0
Tiền thu khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,14.112.792.348,10.516.650.000,16.0,14112792348.0,10516650000.0
Tiền chi khác cho hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(6.622.783.624),(11.465.124.799),17.0,-6622783624.0,-11465124799.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.698.846.928.605,1.866.419.166.121,20.0,1698846928605.0,1866419166121.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"Tiền chi để mua sắm, xây dựng TSCĐ và TS DH khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi để mua sắm, xây dựng TSCĐ và TS DH khác","Tiền chi để mua sắm, xây dựng TSCĐ và TS DH khác",21,(101.527.622.271),(216.709.319.366),21.0,-101527622271.0,-216709319366.0
"Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác",24,20.697.262.539,21.928.012.088,24.0,20697262539.0,21928012088.0
Tiền chi đầu tư góp vốn vào đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(111.033.234.000),(43.844.321.710),25.0,-111033234000.0,-43844321710.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,47.790.758.036,14.345.268.696,27.0,47790758036.0,14345268696.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(144.072.835.696),(224.280.360.292),30.0,-144072835696.0,-224280360292.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
Tiền thu từ đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33,874.340.907.848,751.401.332.755,33.0,874340907848.0,751401332755.0
Tiền trả nợ gốc vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(2.666.122.362.717),(2.130.777.153.065),34.0,-2666122362717.0,-2130777153065.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.791.781.454.869),(1.379.375.820.310),40.0,-1791781454869.0,-1379375820310.0
LU'U CHUYÊN TIÊN THUÀN TRONG KỸ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > LU'U CHUYÊN TIÊN THUÀN TRONG KỸ,LU'U CHUYÊN TIÊN THUÀN TRONG KỸ,50,(237.007.361.960),262.762.985.519,50.0,-237007361960.0,262762985519.0
Tiền và tương đương tiền đầu kỳ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu kỳ,Tiền và tương đương tiền đầu kỳ,60,328.610.885.880,€5.847.900.361,60.0,328610885880.0,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,-,-,61.0,,
Tiền và tương đương tiền cuối kỳ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối kỳ,Tiền và tương đương tiền cuối kỳ,70,91.603.523.920,328.610.885.880,70.0,91603523920.0,328610885880.0
