row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2021 triệu đồng,Ngày 31 tháng 12 năm 2020 (trình bày lại) triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2021 triệu đồng,numeric__Ngày 31 tháng 12 năm 2020 (trình bày lại) triệu đồng
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,1.104.872.665,1.002.750.890,,1104872665.0,1002750890.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,1.130.667.767,1.015.333.270,10.0,1130667767.0,1015333270.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(25.795.102),(12.582.380),11.0,-25795102.0,-12582380.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,12,177.544.548,114.941.998,12.0,177544548.0,114941998.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,12.1,174.973.469,112.677.836,121.0,174973469.0,112677836.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,2.696.832,2.616.778,122.0,2696832.0,2616778.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,12.4,(125.753),(352.616),124.0,-125753.0,-352616.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",13,3.290.027,3.335.507,13.0,3290027.0,3335507.0
Vốn góp liên doanh,TÀI SẢN > Vốn góp liên doanh,Vốn góp liên doanh,13.1,3.073.356,3.117.572,131.0,3073356.0,3117572.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,240.662,240.662,,240662.0,240662.0
Dự phòng giảm giá đầu tư dài hạn,TÀI SẢN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(23.991),(22.727),,-23991.0,-22727.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,10.496.152,10.824.970,,10496152.0,10824970.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14,6.192.822,6.423.208,14.0,6192822.0,6423208.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,15.773.302,15.457.388,,15773302.0,15457388.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(9.580.480),(9.034.180),,-9580480.0,-9034180.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15,4.303.330,4.401.762,15.0,4303330.0,4401762.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,6.627.694,6.387.433,,6627694.0,6387433.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(2.324.364),(1.985.671),,-2324364.0,-1985671.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16,47.423.159,33.838.095,16.0,47423159.0,33838095.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,16.1,34.233.578,22.843.565,161.0,34233578.0,22843565.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",,9.856.571,7.797.843,,9856571.0,7797843.0
Tài sản thuế TNDN hoãn lại,TÀI SẢN > Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,23.1,338,-,231.0,338.0,
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16.2,3.403.230,3.270.000,162.0,3403230.0,3270000.0
Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,TÀI SẢN > Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,16.3,(70.558),(73.313),163.0,-70558.0,-73313.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,1.531.587.398,1.341.509.978,,1531587398.0,1341509978.0
